YEAR|RACE|SEX|SITE|EVENT_TYPE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|POPULATION|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
2010|All Races|Male and Female|Cervix|Mortality|2.2|2.3|2.3|3939|157233878|2.4|2.6|2.5
1999|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.0|4.2|4.1|9786|240982907|4.0|4.1|4.1
1999|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.6|1.7|1.6|4476|279040168|1.6|1.7|1.6
2000|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.3|4.5|4.4|10869|250054784|4.3|4.4|4.3
2000|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.5|1.6|1.6|4323|282162411|1.5|1.6|1.5
2001|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.4|4.6|4.5|11765|262970448|4.4|4.6|4.5
2001|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.5|1.6|1.6|4386|284968955|1.5|1.6|1.5
2002|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.4|4.5|4.5|11716|263385701|4.4|4.5|4.4
2002|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.5|1.6|1.6|4443|287625193|1.5|1.6|1.5
2003|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.5|4.6|4.5|12444|271839572|4.5|4.7|4.6
2003|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.5|1.6|1.5|4476|290107933|1.5|1.6|1.5
2004|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.5|4.7|4.6|13065|280242010|4.6|4.7|4.7
2004|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.5|1.5|4342|292805298|1.4|1.5|1.5
2005|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.5|4.7|4.6|13279|282819896|4.6|4.8|4.7
2005|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.5|1.5|4391|295516599|1.4|1.5|1.5
2006|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.5|4.6|4.5|13419|285542632|4.6|4.8|4.7
2006|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.5|1.5|4498|298379912|1.5|1.6|1.5
2006-2010|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.2|4.2|4.2|64418|1440025689|4.4|4.5|4.5
2006-2010|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.4|1.4|22407|1519806833|1.5|1.5|1.5
2007|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.2|4.3|4.3|13228|296024004|4.4|4.5|4.5
2007|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.5|1.4|4471|301231207|1.4|1.5|1.5
2008|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.1|4.3|4.2|13298|298846948|4.4|4.5|4.4
2008|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.3|1.4|1.4|4395|304093966|1.4|1.5|1.4
2009|All Races|Male and Female|Chronic Lymphocytic|Incidence|4.0|4.2|4.1|13256|301490326|4.3|4.5|4.4
2009|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.4|1.4|1.4|4557|306771529|1.4|1.5|1.5
2010|All Races|Male and Female|Chronic Lymphocytic|Incidence|3.8|3.9|3.9|12601|301097973|4.1|4.3|4.2
2010|All Races|Male and Female|Chronic Lymphocytic|Mortality|1.3|1.4|1.4|4486|309330219|1.4|1.5|1.5
1999|All Races|Male and Female|Chronic Myeloid|Incidence|1.6|1.7|1.6|3877|240982907|1.6|1.7|1.6
1999|All Races|Male and Female|Chronic Myeloid|Mortality|0.6|0.7|0.7|1788|279040168|0.6|0.7|0.6
2000|All Races|Male and Female|Chronic Myeloid|Incidence|1.6|1.7|1.7|4133|250054784|1.6|1.7|1.7
2000|All Races|Male and Female|Chronic Myeloid|Mortality|0.6|0.7|0.6|1802|282162411|0.6|0.7|0.6
2001|All Races|Male and Female|Chronic Myeloid|Incidence|1.6|1.7|1.6|4275|262970448|1.6|1.7|1.6
2001|All Races|Male and Female|Chronic Myeloid|Mortality|0.6|0.6|0.6|1649|284968955|0.6|0.6|0.6
2002|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.5|4011|263385701|1.5|1.6|1.5
2002|All Races|Male and Female|Chronic Myeloid|Mortality|0.5|0.5|0.5|1367|287625193|0.5|0.5|0.5
2003|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.6|4325|271839572|1.5|1.6|1.6
2003|All Races|Male and Female|Chronic Myeloid|Mortality|0.4|0.4|0.4|1233|290107933|0.4|0.4|0.4
2004|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.6|4467|280242010|1.5|1.6|1.6
2004|All Races|Male and Female|Chronic Myeloid|Mortality|0.4|0.4|0.4|1164|292805298|0.4|0.4|0.4
2005|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.5|4408|282819896|1.5|1.6|1.6
2005|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.4|0.4|1067|295516599|0.3|0.4|0.4
2006|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.6|4646|285542632|1.6|1.7|1.6
2006|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.4|0.4|1077|298379912|0.3|0.4|0.4
2006-2010|All Races|Male and Female|Chronic Myeloid|Incidence|1.6|1.6|1.6|23548|1440025689|1.6|1.7|1.6
2006-2010|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.3|0.3|5083|1519806833|0.3|0.3|0.3
2007|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.5|4673|296024004|1.5|1.6|1.6
2007|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.3|0.3|984|301231207|0.3|0.3|0.3
2008|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.5|4771|298846948|1.6|1.6|1.6
2008|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.3|0.3|1000|304093966|0.3|0.3|0.3
2009|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.6|4999|301490326|1.6|1.7|1.7
2009|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.3|0.3|1003|306771529|0.3|0.3|0.3
2010|All Races|Male and Female|Chronic Myeloid|Incidence|1.5|1.6|1.6|4996|301097973|1.6|1.7|1.7
2010|All Races|Male and Female|Chronic Myeloid|Mortality|0.3|0.3|0.3|1019|309330219|0.3|0.4|0.3
1999|All Races|Male and Female|Colon and Rectum|Incidence|56.5|57.1|56.8|134523|240982907|55.5|56.1|55.8
1999|All Races|Male and Female|Colon and Rectum|Mortality|20.8|21.1|20.9|57222|279040168|20.3|20.7|20.5
2000|All Races|Male and Female|Colon and Rectum|Incidence|55.9|56.5|56.2|138787|250054784|55.2|55.8|55.5
2000|All Races|Male and Female|Colon and Rectum|Mortality|20.5|20.8|20.7|57434|282162411|20.2|20.5|20.4
2001|All Races|Male and Female|Colon and Rectum|Incidence|54.9|55.4|55.1|143932|262970448|54.5|55.0|54.7
2001|All Races|Male and Female|Colon and Rectum|Mortality|20.0|20.3|20.2|56808|284968955|19.8|20.1|19.9
2002|All Races|Male and Female|Colon and Rectum|Incidence|53.6|54.1|53.8|141710|263385701|53.5|54.1|53.8
2002|All Races|Male and Female|Colon and Rectum|Mortality|19.6|19.9|19.8|56603|287625193|19.5|19.8|19.7
2003|All Races|Male and Female|Colon and Rectum|Incidence|52.4|52.9|52.6|144372|271839572|52.8|53.4|53.1
2003|All Races|Male and Female|Colon and Rectum|Mortality|19.0|19.3|19.1|55783|290107933|19.1|19.4|19.2
2004|All Races|Male and Female|Colon and Rectum|Incidence|50.8|51.3|51.0|145443|280242010|51.6|52.2|51.9
2004|All Races|Male and Female|Colon and Rectum|Mortality|17.9|18.2|18.1|53580|292805298|18.1|18.5|18.3
2005|All Races|Male and Female|Colon and Rectum|Incidence|49.4|49.9|49.6|144157|282819896|50.7|51.2|51.0
2005|All Races|Male and Female|Colon and Rectum|Mortality|17.4|17.7|17.6|53005|295516599|17.8|18.1|17.9
2006|All Races|Male and Female|Colon and Rectum|Incidence|47.9|48.4|48.1|142317|285542632|49.6|50.1|49.8
2006|All Races|Male and Female|Colon and Rectum|Mortality|17.1|17.4|17.3|53196|298379912|17.7|18.0|17.8
2006-2010|All Races|Male and Female|Colon and Rectum|Incidence|44.7|44.9|44.8|682727|1440025689|47.3|47.5|47.4
2006-2010|All Races|Male and Female|Colon and Rectum|Mortality|16.3|16.4|16.4|263165|1519806833|17.2|17.4|17.3
2007|All Races|Male and Female|Colon and Rectum|Incidence|46.5|47.0|46.8|144857|296024004|48.7|49.2|48.9
2007|All Races|Male and Female|Colon and Rectum|Mortality|16.8|17.1|16.9|53219|301231207|17.5|17.8|17.7
2008|All Races|Male and Female|Colon and Rectum|Incidence|45.2|45.7|45.4|143655|298846948|47.8|48.3|48.1
2008|All Races|Male and Female|Colon and Rectum|Mortality|16.3|16.6|16.5|52857|304093966|17.2|17.5|17.4
2009|All Races|Male and Female|Colon and Rectum|Incidence|42.9|43.4|43.1|139187|301490326|45.9|46.4|46.2
2009|All Races|Male and Female|Colon and Rectum|Mortality|15.7|15.9|15.8|51848|306771529|16.8|17.0|16.9
2010|All Races|Male and Female|Colon and Rectum|Incidence|40.1|40.6|40.4|131607|301097973|43.5|43.9|43.7
2010|All Races|Male and Female|Colon and Rectum|Mortality|15.4|15.6|15.5|52045|309330219|16.7|17.0|16.8
1999|All Races|Male and Female|Colon excluding Rectum|Incidence|41.1|41.6|41.3|97996|240982907|40.4|40.9|40.7
1999|All Races|Male and Female|Colon excluding Rectum|Mortality|17.8|18.1|17.9|48962|279040168|17.4|17.7|17.5
2000|All Races|Male and Female|Colon excluding Rectum|Incidence|40.8|41.3|41.0|101357|250054784|40.3|40.8|40.5
2000|All Races|Male and Female|Colon excluding Rectum|Mortality|17.5|17.8|17.6|49019|282162411|17.2|17.5|17.4
2001|All Races|Male and Female|Colon excluding Rectum|Incidence|40.1|40.6|40.4|105307|262970448|39.8|40.3|40.0
2001|All Races|Male and Female|Colon excluding Rectum|Mortality|17.0|17.3|17.1|48292|284968955|16.8|17.1|16.9
2002|All Races|Male and Female|Colon excluding Rectum|Incidence|39.2|39.7|39.4|103640|263385701|39.1|39.6|39.3
2002|All Races|Male and Female|Colon excluding Rectum|Mortality|16.6|16.9|16.8|47987|287625193|16.5|16.8|16.7
2003|All Races|Male and Female|Colon excluding Rectum|Incidence|38.3|38.7|38.5|105401|271839572|38.5|39.0|38.8
2003|All Races|Male and Female|Colon excluding Rectum|Mortality|16.1|16.4|16.2|47248|290107933|16.1|16.4|16.3
2004|All Races|Male and Female|Colon excluding Rectum|Incidence|37.0|37.5|37.2|105903|280242010|37.6|38.0|37.8
2004|All Races|Male and Female|Colon excluding Rectum|Mortality|15.1|15.3|15.2|44988|292805298|15.2|15.5|15.4
2005|All Races|Male and Female|Colon excluding Rectum|Incidence|35.8|36.3|36.1|104468|282819896|36.7|37.2|36.9
2005|All Races|Male and Female|Colon excluding Rectum|Mortality|14.6|14.8|14.7|44325|295516599|14.9|15.1|15.0
2006|All Races|Male and Female|Colon excluding Rectum|Incidence|34.8|35.3|35.1|103357|285542632|36.0|36.4|36.2
2006|All Races|Male and Female|Colon excluding Rectum|Mortality|14.3|14.5|14.4|44331|298379912|14.7|15.0|14.9
2006-2010|All Races|Male and Female|Colon excluding Rectum|Incidence|32.3|32.5|32.4|492722|1440025689|34.1|34.3|34.2
2006-2010|All Races|Male and Female|Colon excluding Rectum|Mortality|13.5|13.6|13.5|216944|1519806833|14.2|14.3|14.3
2007|All Races|Male and Female|Colon excluding Rectum|Incidence|33.8|34.2|34.0|104849|296024004|35.2|35.6|35.4
2007|All Races|Male and Female|Colon excluding Rectum|Mortality|13.9|14.2|14.1|44247|301231207|14.6|14.8|14.7
2008|All Races|Male and Female|Colon excluding Rectum|Incidence|32.8|33.2|33.0|103971|298846948|34.6|35.0|34.8
2008|All Races|Male and Female|Colon excluding Rectum|Mortality|13.5|13.7|13.6|43650|304093966|14.2|14.5|14.4
2009|All Races|Male and Female|Colon excluding Rectum|Incidence|30.9|31.3|31.1|99955|301490326|32.9|33.4|33.2
2009|All Races|Male and Female|Colon excluding Rectum|Mortality|12.8|13.1|13.0|42471|306771529|13.7|14.0|13.8
2010|All Races|Male and Female|Colon excluding Rectum|Incidence|28.9|29.2|29.0|94256|301097973|31.1|31.5|31.3
2010|All Races|Male and Female|Colon excluding Rectum|Mortality|12.5|12.7|12.6|42245|309330219|13.5|13.8|13.7
1999|All Races|Male and Female|Corpus|Incidence|23.3|23.8|23.6|30466|122799298|24.5|25.1|24.8
1999|All Races|Male and Female|Corpus|Mortality|1.9|2.0|2.0|3121|142237295|2.1|2.3|2.2
2000|All Races|Male and Female|Corpus|Incidence|22.9|23.4|23.2|31199|127339224|24.2|24.8|24.5
2000|All Races|Male and Female|Corpus|Mortality|1.9|2.0|2.0|3139|143719004|2.1|2.3|2.2
2001|All Races|Male and Female|Corpus|Incidence|23.3|23.8|23.5|33531|133852494|24.8|25.3|25.1
2001|All Races|Male and Female|Corpus|Mortality|1.9|2.0|2.0|3185|145077463|2.1|2.3|2.2
2002|All Races|Male and Female|Corpus|Incidence|23.0|23.5|23.3|33540|134016064|24.8|25.3|25.0
2002|All Races|Male and Female|Corpus|Mortality|1.9|2.0|1.9|3187|146394634|2.1|2.3|2.2
2003|All Races|Male and Female|Corpus|Incidence|22.2|22.6|22.4|33665|138373274|24.1|24.6|24.3
2003|All Races|Male and Female|Corpus|Mortality|1.9|2.0|2.0|3261|147679036|2.1|2.3|2.2
2004|All Races|Male and Female|Corpus|Incidence|22.5|23.0|22.8|35650|142598939|24.7|25.3|25.0
2004|All Races|Male and Female|Corpus|Mortality|1.9|2.0|1.9|3272|148977286|2.1|2.3|2.2
2005|All Races|Male and Female|Corpus|Incidence|22.8|23.3|23.0|36724|143876329|25.3|25.8|25.5
2005|All Races|Male and Female|Corpus|Mortality|1.8|2.0|1.9|3259|150319521|2.1|2.2|2.2
2006|All Races|Male and Female|Corpus|Incidence|23.0|23.5|23.2|37812|145223221|25.8|26.3|26.0
2006|All Races|Male and Female|Corpus|Mortality|1.9|2.1|2.0|3449|151732647|2.2|2.4|2.3
2006-2010|All Races|Male and Female|Corpus|Incidence|23.8|24.0|23.9|200603|732214721|27.3|27.5|27.4
2006-2010|All Races|Male and Female|Corpus|Mortality|1.9|1.9|1.9|17239|772700968|2.2|2.3|2.2
2007|All Races|Male and Female|Corpus|Incidence|23.2|23.7|23.5|40066|150543802|26.4|26.9|26.6
2007|All Races|Male and Female|Corpus|Mortality|1.8|2.0|1.9|3377|153166353|2.1|2.3|2.2
2008|All Races|Male and Female|Corpus|Incidence|23.6|24.1|23.8|41555|151961343|27.1|27.6|27.3
2008|All Races|Male and Female|Corpus|Mortality|1.8|2.0|1.9|3436|154604015|2.1|2.3|2.2
2009|All Races|Male and Female|Corpus|Incidence|24.1|24.5|24.3|43276|153304117|28.0|28.5|28.2
2009|All Races|Male and Female|Corpus|Mortality|1.7|1.9|1.8|3333|155964075|2.1|2.2|2.1
2010|All Races|Male and Female|Corpus|Incidence|23.8|24.3|24.0|43324|153071919|28.0|28.6|28.3
2010|All Races|Male and Female|Corpus|Mortality|1.9|2.0|1.9|3644|157233878|2.2|2.4|2.3
1999|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.1|24.6|24.4|31515|122799298|25.4|25.9|25.7
1999|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.0|4.2|4.1|6468|142237295|4.4|4.7|4.5
2000|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|23.7|24.2|24.0|32304|127339224|25.1|25.6|25.4
2000|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.0|4.2|4.1|6585|143719004|4.5|4.7|4.6
2001|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.1|24.6|24.3|34697|133852494|25.6|26.2|25.9
2001|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|6783|145077463|4.6|4.8|4.7
2002|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|23.8|24.3|24.1|34712|134016064|25.6|26.2|25.9
2002|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|6853|146394634|4.6|4.8|4.7
2003|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|22.9|23.4|23.2|34876|138373274|24.9|25.5|25.2
2003|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.0|4.2|4.1|6899|147679036|4.6|4.8|4.7
2004|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|23.3|23.8|23.5|36850|142598939|25.6|26.1|25.8
2004|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.0|4.2|4.1|6990|148977286|4.6|4.8|4.7
2005|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|23.5|24.0|23.8|37966|143876329|26.1|26.7|26.4
2005|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.0|4.2|4.1|7096|150319521|4.6|4.8|4.7
2006|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|23.7|24.2|24.0|39005|145223221|26.6|27.1|26.9
2006|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|7384|151732647|4.8|5.0|4.9
2006-2010|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.5|24.7|24.6|207099|732214721|28.2|28.4|28.3
2006-2010|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.2|4.3|4.3|38630|772700968|4.9|5.0|5.0
2007|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.0|24.4|24.2|41312|150543802|27.2|27.7|27.4
2007|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|7456|153166353|4.8|5.0|4.9
2008|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.4|24.9|24.6|42968|151961343|28.0|28.5|28.3
2008|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|7675|154604015|4.9|5.1|5.0
2009|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.9|25.4|25.1|44767|153304117|28.9|29.5|29.2
2009|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.1|4.3|4.2|7713|155964075|4.8|5.1|4.9
2010|All Races|Male and Female|Corpus and Uterus, NOS|Incidence|24.6|25.1|24.8|44717|153071919|28.9|29.5|29.2
2010|All Races|Male and Female|Corpus and Uterus, NOS|Mortality|4.4|4.5|4.5|8402|157233878|5.2|5.5|5.3
1999|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.5|1109|240982907|0.4|0.5|0.5
2000|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.5|0.5|0.5|1207|250054784|0.5|0.5|0.5
2001|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.5|1233|262970448|0.4|0.5|0.5
2002|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.5|1199|263385701|0.4|0.5|0.5
2003|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.5|0.5|0.5|1372|271839572|0.5|0.5|0.5
2004|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.5|0.5|0.5|1427|280242010|0.5|0.5|0.5
2005|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.5|0.5|0.5|1389|282819896|0.5|0.5|0.5
2006|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.4|1269|285542632|0.4|0.5|0.4
2006-2010|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.4|6439|1440025689|0.4|0.5|0.4
2007|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.5|1358|296024004|0.4|0.5|0.5
2008|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.4|1360|298846948|0.4|0.5|0.5
2009|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.5|0.4|1366|301490326|0.4|0.5|0.5
2010|All Races|Male and Female|Cranial Nerves and Other Nervous System|Incidence|0.4|0.4|0.4|1220|301097973|0.4|0.4|0.4
1999|All Races|Male and Female|Digestive System|Incidence|92.1|92.9|92.5|219244|240982907|90.6|91.4|91.0
1999|All Races|Male and Female|Digestive System|Mortality|47.3|47.8|47.5|130070|279040168|46.4|46.9|46.6
2000|All Races|Male and Female|Digestive System|Incidence|91.7|92.5|92.1|227547|250054784|90.6|91.4|91.0
2000|All Races|Male and Female|Digestive System|Mortality|47.0|47.5|47.3|131455|282162411|46.3|46.8|46.6
2001|All Races|Male and Female|Digestive System|Incidence|90.9|91.6|91.2|238200|262970448|90.2|90.9|90.6
2001|All Races|Male and Female|Digestive System|Mortality|46.5|47.0|46.7|131726|284968955|46.0|46.5|46.2
2002|All Races|Male and Female|Digestive System|Incidence|89.9|90.6|90.2|237588|263385701|89.8|90.6|90.2
2002|All Races|Male and Female|Digestive System|Mortality|46.0|46.5|46.2|132541|287625193|45.8|46.3|46.1
2003|All Races|Male and Female|Digestive System|Incidence|89.3|90.0|89.6|246032|271839572|90.1|90.9|90.5
2003|All Races|Male and Female|Digestive System|Mortality|45.3|45.8|45.6|133010|290107933|45.6|46.1|45.8
2004|All Races|Male and Female|Digestive System|Incidence|88.2|88.9|88.5|252528|280242010|89.8|90.5|90.1
2004|All Races|Male and Female|Digestive System|Mortality|44.3|44.8|44.5|132215|292805298|44.9|45.4|45.2
2005|All Races|Male and Female|Digestive System|Incidence|86.8|87.5|87.2|253531|282819896|89.3|90.0|89.6
2005|All Races|Male and Female|Digestive System|Mortality|43.9|44.4|44.1|133562|295516599|45.0|45.4|45.2
2006|All Races|Male and Female|Digestive System|Incidence|85.8|86.5|86.1|255265|285542632|89.0|89.7|89.4
2006|All Races|Male and Female|Digestive System|Mortality|43.6|44.0|43.8|135140|298379912|45.1|45.5|45.3
2006-2010|All Races|Male and Female|Digestive System|Incidence|83.2|83.5|83.4|1276434|1440025689|88.5|88.8|88.6
2006-2010|All Races|Male and Female|Digestive System|Mortality|42.8|43.0|42.9|691908|1519806833|45.4|45.6|45.5
2007|All Races|Male and Female|Digestive System|Incidence|84.8|85.4|85.1|264228|296024004|88.9|89.6|89.3
2007|All Races|Male and Female|Digestive System|Mortality|43.0|43.5|43.3|136419|301231207|45.0|45.5|45.3
2008|All Races|Male and Female|Digestive System|Incidence|84.0|84.6|84.3|267448|298846948|89.2|89.8|89.5
2008|All Races|Male and Female|Digestive System|Mortality|42.8|43.2|43.0|138469|304093966|45.3|45.8|45.5
2009|All Races|Male and Female|Digestive System|Incidence|81.9|82.5|82.2|266445|301490326|88.0|88.7|88.4
2009|All Races|Male and Female|Digestive System|Mortality|42.0|42.5|42.3|139200|306771529|45.1|45.6|45.4
2010|All Races|Male and Female|Digestive System|Incidence|78.3|78.9|78.6|257786|301097973|85.3|85.9|85.6
2010|All Races|Male and Female|Digestive System|Mortality|42.1|42.6|42.3|142680|309330219|45.9|46.4|46.1
1999|All Races|Male and Female|Endocrine System|Incidence|7.4|7.7|7.5|18064|240982907|7.4|7.6|7.5
1999|All Races|Male and Female|Endocrine System|Mortality|0.7|0.8|0.8|2146|279040168|0.7|0.8|0.8
2000|All Races|Male and Female|Endocrine System|Incidence|8.1|8.3|8.2|20433|250054784|8.1|8.3|8.2
2000|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2210|282162411|0.8|0.8|0.8
2001|All Races|Male and Female|Endocrine System|Incidence|8.5|8.7|8.6|22551|262970448|8.5|8.7|8.6
2001|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2299|284968955|0.8|0.8|0.8
2002|All Races|Male and Female|Endocrine System|Incidence|9.1|9.3|9.2|24256|263385701|9.1|9.3|9.2
2002|All Races|Male and Female|Endocrine System|Mortality|0.7|0.8|0.8|2231|287625193|0.7|0.8|0.8
2003|All Races|Male and Female|Endocrine System|Incidence|9.4|9.7|9.5|26134|271839572|9.5|9.7|9.6
2003|All Races|Male and Female|Endocrine System|Mortality|0.7|0.8|0.7|2155|290107933|0.7|0.8|0.7
2004|All Races|Male and Female|Endocrine System|Incidence|10.2|10.4|10.3|29173|280242010|10.3|10.5|10.4
2004|All Races|Male and Female|Endocrine System|Mortality|0.7|0.8|0.8|2272|292805298|0.7|0.8|0.8
2005|All Races|Male and Female|Endocrine System|Incidence|11.0|11.2|11.1|31856|282819896|11.1|11.4|11.3
2005|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2354|295516599|0.8|0.8|0.8
2006|All Races|Male and Female|Endocrine System|Incidence|11.6|11.8|11.7|34018|285542632|11.8|12.0|11.9
2006|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2404|298379912|0.8|0.8|0.8
2006-2010|All Races|Male and Female|Endocrine System|Incidence|13.2|13.3|13.2|195819|1440025689|13.5|13.7|13.6
2006-2010|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|12722|1519806833|0.8|0.9|0.8
2007|All Races|Male and Female|Endocrine System|Incidence|12.4|12.6|12.5|37794|296024004|12.6|12.9|12.8
2007|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2488|301231207|0.8|0.9|0.8
2008|All Races|Male and Female|Endocrine System|Incidence|13.3|13.6|13.4|41254|298846948|13.7|13.9|13.8
2008|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2555|304093966|0.8|0.9|0.8
2009|All Races|Male and Female|Endocrine System|Incidence|13.9|14.2|14.1|43743|301490326|14.4|14.6|14.5
2009|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2634|306771529|0.8|0.9|0.9
2010|All Races|Male and Female|Endocrine System|Incidence|14.0|14.3|14.1|43988|301097973|14.5|14.7|14.6
2010|All Races|Male and Female|Endocrine System|Mortality|0.8|0.8|0.8|2641|309330219|0.8|0.9|0.9
1999|All Races|Male and Female|Esophagus|Incidence|5.0|5.2|5.1|11989|240982907|4.9|5.1|5.0
1999|All Races|Male and Female|Esophagus|Mortality|4.3|4.4|4.3|11917|279040168|4.2|4.3|4.3
2000|All Races|Male and Female|Esophagus|Incidence|5.0|5.1|5.0|12466|250054784|4.9|5.1|5.0
2000|All Races|Male and Female|Esophagus|Mortality|4.3|4.5|4.4|12232|282162411|4.3|4.4|4.3
2001|All Races|Male and Female|Esophagus|Incidence|4.9|5.1|5.0|13092|262970448|4.9|5.1|5.0
2001|All Races|Male and Female|Esophagus|Mortality|4.4|4.5|4.4|12529|284968955|4.3|4.5|4.4
2002|All Races|Male and Female|Esophagus|Incidence|4.8|5.0|4.9|13007|263385701|4.9|5.0|4.9
2002|All Races|Male and Female|Esophagus|Mortality|4.3|4.5|4.4|12700|287625193|4.3|4.5|4.4
2003|All Races|Male and Female|Esophagus|Incidence|4.9|5.1|5.0|13775|271839572|5.0|5.2|5.1
2003|All Races|Male and Female|Esophagus|Mortality|4.3|4.5|4.4|12860|290107933|4.4|4.5|4.4
2004|All Races|Male and Female|Esophagus|Incidence|5.0|5.2|5.1|14657|280242010|5.1|5.3|5.2
2004|All Races|Male and Female|Esophagus|Mortality|4.3|4.4|4.4|13023|292805298|4.4|4.5|4.4
2005|All Races|Male and Female|Esophagus|Incidence|4.9|5.0|5.0|14498|282819896|5.0|5.2|5.1
2005|All Races|Male and Female|Esophagus|Mortality|4.4|4.5|4.4|13499|295516599|4.5|4.6|4.6
