AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
1.4|2.1|1.7|97|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|56909320|0-14|All Races|Male and Female|2003|||
0.7|1.2|0.9|53|I(e) Unspecified and other specified leukemias|56909320|0-14|All Races|Male and Female|2003|||
14.8|16.9|15.8|904|II Lymphomas and reticuloendothelial neoplasms|56909320|0-14|All Races|Male and Female|2003|||
5.0|6.3|5.6|326|II(a) Hodgkin lymphomas|56909320|0-14|All Races|Male and Female|2003|||
5.7|7.0|6.3|359|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|56909320|0-14|All Races|Male and Female|2003|||
2.2|3.1|2.6|148|II(c) Burkitt lymphoma|56909320|0-14|All Races|Male and Female|2003|||
0.9|1.4|1.1|64|II(d) Miscellaneous lymphoreticular neoplasms|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|II(e) Unspecified lymphomas|56909320|0-14|All Races|Male and Female|2003|||
31.7|34.7|33.2|1883|III CNS and misc intracranial and intraspinal neoplasms|56909320|0-14|All Races|Male and Female|2003|||
2.1|2.9|2.5|142|III(a) Ependymomas and choroid plexus tumor|56909320|0-14|All Races|Male and Female|2003|||
15.4|17.5|16.4|935|III(b) Astrocytomas|56909320|0-14|All Races|Male and Female|2003|||
6.6|8.1|7.3|414|III(c) Intracranial and intraspinal embryonal tumors|56909320|0-14|All Races|Male and Female|2003|||
5.1|6.4|5.7|325|III(d) Other gliomas|56909320|0-14|All Races|Male and Female|2003|||
0.6|1.1|0.8|48|III(e) Other specified intracranial & intraspinal neoplasms|56909320|0-14|All Races|Male and Female|2003|||
0.2|0.5|0.3|19|III(f) Unspecified intracranial and intraspinal neoplasms|56909320|0-14|All Races|Male and Female|2003|||
9.8|11.5|10.6|607|IV Neuroblastoma and other peripheral nervous cell tumors|56909320|0-14|All Races|Male and Female|2003|||
9.6|11.3|10.5|598|IV(a) Neuroblastoma and ganglioneuroblastoma|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|56909320|0-14|All Races|Male and Female|2003|||
9.7|11.4|10.5|601|IX Soft tissue and other extraosseous sarcomas|56909320|0-14|All Races|Male and Female|2003|||
4.4|5.6|5.0|284|IX(a) Rhabdomyosarcomas|56909320|0-14|All Races|Male and Female|2003|||
0.8|1.3|1.0|58|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|IX(c) Kaposi sarcoma|56909320|0-14|All Races|Male and Female|2003|||
3.0|4.0|3.5|200|IX(d) Other specified soft tissue sarcomas|56909320|0-14|All Races|Male and Female|2003|||
0.7|1.3|1.0|57|IX(e) Unspecified soft tissue sarcomas|56909320|0-14|All Races|Male and Female|2003|||
0.2|0.5|0.3|16|Not classified by ICCC|56909320|0-14|All Races|Male and Female|2003|||
3.6|4.7|4.1|236|V Retinoblastoma|56909320|0-14|All Races|Male and Female|2003|||
7.9|9.4|8.6|488|VI Renal tumors|56909320|0-14|All Races|Male and Female|2003|||
7.5|9.0|8.2|464|VI(a) Nephroblastoma and other nonepithelial renal tumors|56909320|0-14|All Races|Male and Female|2003|||
0.2|0.5|0.3|20|VI(b) Renal carcinomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|56909320|0-14|All Races|Male and Female|2003|||
2.1|3.0|2.5|146|VII Hepatic tumors|56909320|0-14|All Races|Male and Female|2003|||
1.7|2.5|2.1|119|VII(a) Hepatoblastoma|56909320|0-14|All Races|Male and Female|2003|||
0.3|0.7|0.5|27|VII(b) Hepatic carcinomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|56909320|0-14|All Races|Male and Female|2003|||
6.2|7.6|6.9|397|VIII Malignant bone tumors|56909320|0-14|All Races|Male and Female|2003|||
3.3|4.3|3.8|220|VIII(a) Osteosarcomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|VIII(b) Chondrosarcomas|56909320|0-14|All Races|Male and Female|2003|||
1.9|2.7|2.3|133|VIII(c) Ewing tumor and related sarcomas of bone|56909320|0-14|All Races|Male and Female|2003|||
0.2|0.5|0.3|17|VIII(d) Other specified malignant bone tumors|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|56909320|0-14|All Races|Male and Female|2003|||
4.6|5.7|5.1|297|X Germ cell, trophoblastic tumors & neoplasms of gonads|56909320|0-14|All Races|Male and Female|2003|||
0.9|1.5|1.2|70|X(a) Intracranial & intraspinal germ cell tumors|56909320|0-14|All Races|Male and Female|2003|||
1.1|1.8|1.4|83|X(b) Malignant extracranial & extragonadal germ cell tumors|56909320|0-14|All Races|Male and Female|2003|||
1.9|2.6|2.2|129|X(c) Malignant gonadal germ cell tumors|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|X(d) Gonadal carcinomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|56909320|0-14|All Races|Male and Female|2003|||
5.8|7.1|6.4|372|XI Other malignant epithelial neoplasms and malignant melanomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|XI(a) Adrenocortical carcinomas|56909320|0-14|All Races|Male and Female|2003|||
1.8|2.6|2.2|126|XI(b) Thyroid carcinomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|56909320|0-14|All Races|Male and Female|2003|||
1.6|2.4|2.0|115|XI(d) Malignant melanomas|56909320|0-14|All Races|Male and Female|2003|||
~|~|~|~|XI(e) Skin carcinomas|56909320|0-14|All Races|Male and Female|2003|||
1.5|2.2|1.8|104|XI(f) Other and unspecified carcinomas|56909320|0-14|All Races|Male and Female|2003|||
0.6|1.0|0.8|44|XII Other and unspecified malignant neoplasms|56909320|0-14|All Races|Male and Female|2003|||
0.2|0.5|0.3|19|XII(a) Other specified malignant tumors|56909320|0-14|All Races|Male and Female|2003|||
0.3|0.6|0.4|25|XII(b) Other unspecified malignant tumors|56909320|0-14|All Races|Male and Female|2003|||
155.6|162.1|158.9|9270|All ICCC Groups Combined|58106078|0-14|All Races|Male and Female|2004|||
49.1|52.8|50.9|2957|I Leukemias, myeloproliferative & myelodysplastic diseases|58106078|0-14|All Races|Male and Female|2004|||
37.0|40.2|38.6|2236|I(a) Lymphoid leukemias|58106078|0-14|All Races|Male and Female|2004|||
7.3|8.8|8.0|468|I(b) Acute myeloid leukemias|58106078|0-14|All Races|Male and Female|2004|||
1.2|1.8|1.5|88|I(c) Chronic myeloproliferative diseases|58106078|0-14|All Races|Male and Female|2004|||
1.2|1.8|1.5|85|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58106078|0-14|All Races|Male and Female|2004|||
1.1|1.7|1.4|80|I(e) Unspecified and other specified leukemias|58106078|0-14|All Races|Male and Female|2004|||
15.1|17.1|16.1|941|II Lymphomas and reticuloendothelial neoplasms|58106078|0-14|All Races|Male and Female|2004|||
4.7|5.9|5.2|310|II(a) Hodgkin lymphomas|58106078|0-14|All Races|Male and Female|2004|||
6.2|7.5|6.8|399|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58106078|0-14|All Races|Male and Female|2004|||
2.1|2.9|2.4|141|II(c) Burkitt lymphoma|58106078|0-14|All Races|Male and Female|2004|||
1.1|1.7|1.3|79|II(d) Miscellaneous lymphoreticular neoplasms|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|II(e) Unspecified lymphomas|58106078|0-14|All Races|Male and Female|2004|||
33.4|36.5|35.0|2025|III CNS and misc intracranial and intraspinal neoplasms|58106078|0-14|All Races|Male and Female|2004|||
2.5|3.4|3.0|172|III(a) Ependymomas and choroid plexus tumor|58106078|0-14|All Races|Male and Female|2004|||
16.3|18.5|17.4|1009|III(b) Astrocytomas|58106078|0-14|All Races|Male and Female|2004|||
7.0|8.5|7.7|448|III(c) Intracranial and intraspinal embryonal tumors|58106078|0-14|All Races|Male and Female|2004|||
4.9|6.1|5.5|317|III(d) Other gliomas|58106078|0-14|All Races|Male and Female|2004|||
0.6|1.0|0.8|46|III(e) Other specified intracranial & intraspinal neoplasms|58106078|0-14|All Races|Male and Female|2004|||
0.4|0.8|0.6|33|III(f) Unspecified intracranial and intraspinal neoplasms|58106078|0-14|All Races|Male and Female|2004|||
10.0|11.7|10.8|634|IV Neuroblastoma and other peripheral nervous cell tumors|58106078|0-14|All Races|Male and Female|2004|||
9.8|11.4|10.6|621|IV(a) Neuroblastoma and ganglioneuroblastoma|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|58106078|0-14|All Races|Male and Female|2004|||
9.7|11.4|10.5|615|IX Soft tissue and other extraosseous sarcomas|58106078|0-14|All Races|Male and Female|2004|||
4.2|5.3|4.7|273|IX(a) Rhabdomyosarcomas|58106078|0-14|All Races|Male and Female|2004|||
0.9|1.5|1.2|70|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|IX(c) Kaposi sarcoma|58106078|0-14|All Races|Male and Female|2004|||
3.1|4.1|3.6|212|IX(d) Other specified soft tissue sarcomas|58106078|0-14|All Races|Male and Female|2004|||
0.8|1.3|1.0|59|IX(e) Unspecified soft tissue sarcomas|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|Not classified by ICCC|58106078|0-14|All Races|Male and Female|2004|||
3.6|4.7|4.1|245|V Retinoblastoma|58106078|0-14|All Races|Male and Female|2004|||
7.4|8.8|8.1|470|VI Renal tumors|58106078|0-14|All Races|Male and Female|2004|||
7.0|8.5|7.7|448|VI(a) Nephroblastoma and other nonepithelial renal tumors|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58106078|0-14|All Races|Male and Female|2004|||
2.2|3.0|2.6|151|VII Hepatic tumors|58106078|0-14|All Races|Male and Female|2004|||
1.9|2.6|2.2|131|VII(a) Hepatoblastoma|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|VII(b) Hepatic carcinomas|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58106078|0-14|All Races|Male and Female|2004|||
6.3|7.7|7.0|413|VIII Malignant bone tumors|58106078|0-14|All Races|Male and Female|2004|||
3.6|4.6|4.1|241|VIII(a) Osteosarcomas|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.4|0.3|16|VIII(b) Chondrosarcomas|58106078|0-14|All Races|Male and Female|2004|||
1.9|2.7|2.3|134|VIII(c) Ewing tumor and related sarcomas of bone|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.5|0.3|17|VIII(d) Other specified malignant bone tumors|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|58106078|0-14|All Races|Male and Female|2004|||
5.0|6.2|5.6|329|X Germ cell, trophoblastic tumors & neoplasms of gonads|58106078|0-14|All Races|Male and Female|2004|||
1.2|1.9|1.5|89|X(a) Intracranial & intraspinal germ cell tumors|58106078|0-14|All Races|Male and Female|2004|||
1.0|1.6|1.3|77|X(b) Malignant extracranial & extragonadal germ cell tumors|58106078|0-14|All Races|Male and Female|2004|||
2.0|2.9|2.4|144|X(c) Malignant gonadal germ cell tumors|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|X(d) Gonadal carcinomas|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|58106078|0-14|All Races|Male and Female|2004|||
6.7|8.1|7.4|436|XI Other malignant epithelial neoplasms and malignant melanomas|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.4|0.3|16|XI(a) Adrenocortical carcinomas|58106078|0-14|All Races|Male and Female|2004|||
2.2|3.0|2.6|152|XI(b) Thyroid carcinomas|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.6|0.4|23|XI(c) Nasopharyngeal carcinomas|58106078|0-14|All Races|Male and Female|2004|||
2.2|3.0|2.6|152|XI(d) Malignant melanomas|58106078|0-14|All Races|Male and Female|2004|||
~|~|~|~|XI(e) Skin carcinomas|58106078|0-14|All Races|Male and Female|2004|||
1.2|1.8|1.5|88|XI(f) Other and unspecified carcinomas|58106078|0-14|All Races|Male and Female|2004|||
0.5|0.9|0.7|39|XII Other and unspecified malignant neoplasms|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.5|0.3|17|XII(a) Other specified malignant tumors|58106078|0-14|All Races|Male and Female|2004|||
0.2|0.6|0.4|22|XII(b) Other unspecified malignant tumors|58106078|0-14|All Races|Male and Female|2004|||
151.9|158.3|155.1|9040|All ICCC Groups Combined|57973098|0-14|All Races|Male and Female|2005|||
47.4|51.0|49.1|2859|I Leukemias, myeloproliferative & myelodysplastic diseases|57973098|0-14|All Races|Male and Female|2005|||
35.9|39.1|37.5|2177|I(a) Lymphoid leukemias|57973098|0-14|All Races|Male and Female|2005|||
6.6|8.0|7.3|425|I(b) Acute myeloid leukemias|57973098|0-14|All Races|Male and Female|2005|||
1.1|1.7|1.4|82|I(c) Chronic myeloproliferative diseases|57973098|0-14|All Races|Male and Female|2005|||
1.3|2.0|1.6|94|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57973098|0-14|All Races|Male and Female|2005|||
1.1|1.7|1.4|81|I(e) Unspecified and other specified leukemias|57973098|0-14|All Races|Male and Female|2005|||
15.7|17.8|16.7|976|II Lymphomas and reticuloendothelial neoplasms|57973098|0-14|All Races|Male and Female|2005|||
5.2|6.5|5.8|342|II(a) Hodgkin lymphomas|57973098|0-14|All Races|Male and Female|2005|||
6.0|7.3|6.6|385|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57973098|0-14|All Races|Male and Female|2005|||
2.2|3.0|2.6|148|II(c) Burkitt lymphoma|57973098|0-14|All Races|Male and Female|2005|||
1.2|1.8|1.5|88|II(d) Miscellaneous lymphoreticular neoplasms|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|II(e) Unspecified lymphomas|57973098|0-14|All Races|Male and Female|2005|||
31.0|33.9|32.4|1877|III CNS and misc intracranial and intraspinal neoplasms|57973098|0-14|All Races|Male and Female|2005|||
2.7|3.6|3.1|182|III(a) Ependymomas and choroid plexus tumor|57973098|0-14|All Races|Male and Female|2005|||
15.2|17.2|16.2|938|III(b) Astrocytomas|57973098|0-14|All Races|Male and Female|2005|||
6.3|7.7|7.0|402|III(c) Intracranial and intraspinal embryonal tumors|57973098|0-14|All Races|Male and Female|2005|||
4.5|5.7|5.1|291|III(d) Other gliomas|57973098|0-14|All Races|Male and Female|2005|||
0.4|0.8|0.6|35|III(e) Other specified intracranial & intraspinal neoplasms|57973098|0-14|All Races|Male and Female|2005|||
0.3|0.7|0.5|29|III(f) Unspecified intracranial and intraspinal neoplasms|57973098|0-14|All Races|Male and Female|2005|||
11.0|12.8|11.9|701|IV Neuroblastoma and other peripheral nervous cell tumors|57973098|0-14|All Races|Male and Female|2005|||
10.9|12.7|11.8|693|IV(a) Neuroblastoma and ganglioneuroblastoma|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|57973098|0-14|All Races|Male and Female|2005|||
9.7|11.4|10.5|612|IX Soft tissue and other extraosseous sarcomas|57973098|0-14|All Races|Male and Female|2005|||
4.7|5.9|5.3|306|IX(a) Rhabdomyosarcomas|57973098|0-14|All Races|Male and Female|2005|||
0.9|1.4|1.1|65|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|IX(c) Kaposi sarcoma|57973098|0-14|All Races|Male and Female|2005|||
2.8|3.8|3.3|192|IX(d) Other specified soft tissue sarcomas|57973098|0-14|All Races|Male and Female|2005|||
0.6|1.1|0.8|46|IX(e) Unspecified soft tissue sarcomas|57973098|0-14|All Races|Male and Female|2005|||
0.2|0.5|0.3|17|Not classified by ICCC|57973098|0-14|All Races|Male and Female|2005|||
3.3|4.3|3.8|222|V Retinoblastoma|57973098|0-14|All Races|Male and Female|2005|||
7.5|9.0|8.2|478|VI Renal tumors|57973098|0-14|All Races|Male and Female|2005|||
7.1|8.5|7.8|455|VI(a) Nephroblastoma and other nonepithelial renal tumors|57973098|0-14|All Races|Male and Female|2005|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|57973098|0-14|All Races|Male and Female|2005|||
2.0|2.8|2.4|139|VII Hepatic tumors|57973098|0-14|All Races|Male and Female|2005|||
1.5|2.3|1.9|111|VII(a) Hepatoblastoma|57973098|0-14|All Races|Male and Female|2005|||
0.3|0.6|0.4|26|VII(b) Hepatic carcinomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57973098|0-14|All Races|Male and Female|2005|||
6.2|7.6|6.9|402|VIII Malignant bone tumors|57973098|0-14|All Races|Male and Female|2005|||
3.3|4.3|3.8|222|VIII(a) Osteosarcomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|VIII(b) Chondrosarcomas|57973098|0-14|All Races|Male and Female|2005|||
2.0|2.8|2.4|139|VIII(c) Ewing tumor and related sarcomas of bone|57973098|0-14|All Races|Male and Female|2005|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|57973098|0-14|All Races|Male and Female|2005|||
4.9|6.2|5.5|326|X Germ cell, trophoblastic tumors & neoplasms of gonads|57973098|0-14|All Races|Male and Female|2005|||
1.1|1.7|1.4|79|X(a) Intracranial & intraspinal germ cell tumors|57973098|0-14|All Races|Male and Female|2005|||
1.3|1.9|1.6|93|X(b) Malignant extracranial & extragonadal germ cell tumors|57973098|0-14|All Races|Male and Female|2005|||
1.9|2.7|2.3|137|X(c) Malignant gonadal germ cell tumors|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|X(d) Gonadal carcinomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57973098|0-14|All Races|Male and Female|2005|||
6.1|7.5|6.8|399|XI Other malignant epithelial neoplasms and malignant melanomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|XI(a) Adrenocortical carcinomas|57973098|0-14|All Races|Male and Female|2005|||
1.8|2.6|2.2|127|XI(b) Thyroid carcinomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|57973098|0-14|All Races|Male and Female|2005|||
2.0|2.8|2.4|138|XI(d) Malignant melanomas|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|XI(e) Skin carcinomas|57973098|0-14|All Races|Male and Female|2005|||
1.6|2.3|1.9|112|XI(f) Other and unspecified carcinomas|57973098|0-14|All Races|Male and Female|2005|||
0.4|0.8|0.5|32|XII Other and unspecified malignant neoplasms|57973098|0-14|All Races|Male and Female|2005|||
~|~|~|~|XII(a) Other specified malignant tumors|57973098|0-14|All Races|Male and Female|2005|||
0.2|0.5|0.3|17|XII(b) Other unspecified malignant tumors|57973098|0-14|All Races|Male and Female|2005|||
154.4|160.9|157.6|9188|All ICCC Groups Combined|57966135|0-14|All Races|Male and Female|2006|||
49.5|53.2|51.3|2986|I Leukemias, myeloproliferative & myelodysplastic diseases|57966135|0-14|All Races|Male and Female|2006|||
37.1|40.4|38.7|2251|I(a) Lymphoid leukemias|57966135|0-14|All Races|Male and Female|2006|||
7.1|8.6|7.8|458|I(b) Acute myeloid leukemias|57966135|0-14|All Races|Male and Female|2006|||
1.4|2.0|1.7|98|I(c) Chronic myeloproliferative diseases|57966135|0-14|All Races|Male and Female|2006|||
1.4|2.1|1.7|102|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57966135|0-14|All Races|Male and Female|2006|||
1.0|1.7|1.3|77|I(e) Unspecified and other specified leukemias|57966135|0-14|All Races|Male and Female|2006|||
15.6|17.7|16.7|968|II Lymphomas and reticuloendothelial neoplasms|57966135|0-14|All Races|Male and Female|2006|||
5.4|6.7|6.1|353|II(a) Hodgkin lymphomas|57966135|0-14|All Races|Male and Female|2006|||
5.9|7.2|6.5|380|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57966135|0-14|All Races|Male and Female|2006|||
2.1|3.0|2.5|146|II(c) Burkitt lymphoma|57966135|0-14|All Races|Male and Female|2006|||
1.0|1.6|1.3|77|II(d) Miscellaneous lymphoreticular neoplasms|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|II(e) Unspecified lymphomas|57966135|0-14|All Races|Male and Female|2006|||
32.3|35.3|33.8|1957|III CNS and misc intracranial and intraspinal neoplasms|57966135|0-14|All Races|Male and Female|2006|||
2.6|3.5|3.0|177|III(a) Ependymomas and choroid plexus tumor|57966135|0-14|All Races|Male and Female|2006|||
15.0|17.1|16.0|929|III(b) Astrocytomas|57966135|0-14|All Races|Male and Female|2006|||
7.1|8.5|7.8|450|III(c) Intracranial and intraspinal embryonal tumors|57966135|0-14|All Races|Male and Female|2006|||
5.2|6.4|5.8|331|III(d) Other gliomas|57966135|0-14|All Races|Male and Female|2006|||
0.4|0.8|0.5|31|III(e) Other specified intracranial & intraspinal neoplasms|57966135|0-14|All Races|Male and Female|2006|||
0.5|0.9|0.7|39|III(f) Unspecified intracranial and intraspinal neoplasms|57966135|0-14|All Races|Male and Female|2006|||
9.4|11.0|10.2|600|IV Neuroblastoma and other peripheral nervous cell tumors|57966135|0-14|All Races|Male and Female|2006|||
9.3|10.9|10.1|595|IV(a) Neuroblastoma and ganglioneuroblastoma|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|57966135|0-14|All Races|Male and Female|2006|||
9.7|11.4|10.5|614|IX Soft tissue and other extraosseous sarcomas|57966135|0-14|All Races|Male and Female|2006|||
4.3|5.5|4.9|283|IX(a) Rhabdomyosarcomas|57966135|0-14|All Races|Male and Female|2006|||
0.9|1.5|1.2|68|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|IX(c) Kaposi sarcoma|57966135|0-14|All Races|Male and Female|2006|||
3.0|3.9|3.4|200|IX(d) Other specified soft tissue sarcomas|57966135|0-14|All Races|Male and Female|2006|||
0.8|1.3|1.0|61|IX(e) Unspecified soft tissue sarcomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|Not classified by ICCC|57966135|0-14|All Races|Male and Female|2006|||
3.4|4.5|3.9|234|V Retinoblastoma|57966135|0-14|All Races|Male and Female|2006|||
7.5|9.0|8.3|483|VI Renal tumors|57966135|0-14|All Races|Male and Female|2006|||
7.2|8.6|7.9|460|VI(a) Nephroblastoma and other nonepithelial renal tumors|57966135|0-14|All Races|Male and Female|2006|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|57966135|0-14|All Races|Male and Female|2006|||
2.2|3.0|2.6|152|VII Hepatic tumors|57966135|0-14|All Races|Male and Female|2006|||
1.8|2.5|2.1|127|VII(a) Hepatoblastoma|57966135|0-14|All Races|Male and Female|2006|||
0.2|0.5|0.4|21|VII(b) Hepatic carcinomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57966135|0-14|All Races|Male and Female|2006|||
6.5|7.9|7.1|414|VIII Malignant bone tumors|57966135|0-14|All Races|Male and Female|2006|||
3.6|4.7|4.1|238|VIII(a) Osteosarcomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|VIII(b) Chondrosarcomas|57966135|0-14|All Races|Male and Female|2006|||
2.0|2.8|2.4|139|VIII(c) Ewing tumor and related sarcomas of bone|57966135|0-14|All Races|Male and Female|2006|||
0.2|0.5|0.3|18|VIII(d) Other specified malignant bone tumors|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|57966135|0-14|All Races|Male and Female|2006|||
4.5|5.7|5.1|299|X Germ cell, trophoblastic tumors & neoplasms of gonads|57966135|0-14|All Races|Male and Female|2006|||
1.0|1.6|1.3|74|X(a) Intracranial & intraspinal germ cell tumors|57966135|0-14|All Races|Male and Female|2006|||
1.2|1.8|1.5|87|X(b) Malignant extracranial & extragonadal germ cell tumors|57966135|0-14|All Races|Male and Female|2006|||
1.7|2.5|2.1|123|X(c) Malignant gonadal germ cell tumors|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|X(d) Gonadal carcinomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57966135|0-14|All Races|Male and Female|2006|||
6.6|8.0|7.3|426|XI Other malignant epithelial neoplasms and malignant melanomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|XI(a) Adrenocortical carcinomas|57966135|0-14|All Races|Male and Female|2006|||
2.2|3.0|2.6|152|XI(b) Thyroid carcinomas|57966135|0-14|All Races|Male and Female|2006|||
0.2|0.4|0.3|16|XI(c) Nasopharyngeal carcinomas|57966135|0-14|All Races|Male and Female|2006|||
2.0|2.8|2.4|139|XI(d) Malignant melanomas|57966135|0-14|All Races|Male and Female|2006|||
~|~|~|~|XI(e) Skin carcinomas|57966135|0-14|All Races|Male and Female|2006|||
1.4|2.1|1.7|101|XI(f) Other and unspecified carcinomas|57966135|0-14|All Races|Male and Female|2006|||
0.6|1.0|0.8|45|XII Other and unspecified malignant neoplasms|57966135|0-14|All Races|Male and Female|2006|||
0.3|0.7|0.5|27|XII(a) Other specified malignant tumors|57966135|0-14|All Races|Male and Female|2006|||
0.2|0.5|0.3|18|XII(b) Other unspecified malignant tumors|57966135|0-14|All Races|Male and Female|2006|||
159.7|162.6|161.2|46794|All ICCC Groups Combined|288616149|0-14|All Races|Male and Female|2006-2010|||
51.7|53.4|52.5|15262|I Leukemias, myeloproliferative & myelodysplastic diseases|288616149|0-14|All Races|Male and Female|2006-2010|||
39.4|40.9|40.2|11660|I(a) Lymphoid leukemias|288616149|0-14|All Races|Male and Female|2006-2010|||
7.3|8.0|7.6|2222|I(b) Acute myeloid leukemias|288616149|0-14|All Races|Male and Female|2006-2010|||
1.6|2.0|1.8|521|I(c) Chronic myeloproliferative diseases|288616149|0-14|All Races|Male and Female|2006-2010|||
1.5|1.8|1.7|483|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|288616149|0-14|All Races|Male and Female|2006-2010|||
1.2|1.4|1.3|376|I(e) Unspecified and other specified leukemias|288616149|0-14|All Races|Male and Female|2006-2010|||
16.8|17.7|17.2|4969|II Lymphomas and reticuloendothelial neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
5.5|6.0|5.8|1656|II(a) Hodgkin lymphomas|288616149|0-14|All Races|Male and Female|2006-2010|||
6.5|7.2|6.8|1969|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|288616149|0-14|All Races|Male and Female|2006-2010|||
2.4|2.7|2.6|733|II(c) Burkitt lymphoma|288616149|0-14|All Races|Male and Female|2006-2010|||
