AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|1.3|2.5|1.8|35|IX(e) Unspecified soft tissue sarcomas|19390595|2001
15-19|1.6|2.9|2.2|41|IX(e) Unspecified soft tissue sarcomas|18860805|2001
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|18660987|2001
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3710508|2001
1-4|~|~|~|~|Not classified by ICCC|14133019|2001
10-14|~|~|~|~|Not classified by ICCC|19390595|2001
15-19|~|~|~|~|Not classified by ICCC|18860805|2001
5-9|~|~|~|~|Not classified by ICCC|18660987|2001
<1|~|~|~|~|Not classified by ICCC|3710508|2001
1-4|7.5|10.7|9.0|127|V Retinoblastoma|14133019|2001
10-14|~|~|~|~|V Retinoblastoma|19390595|2001
15-19|~|~|~|~|V Retinoblastoma|18860805|2001
5-9|~|~|~|~|V Retinoblastoma|18660987|2001
<1|23.4|34.6|28.6|106|V Retinoblastoma|3710508|2001
1-4|18.0|22.7|20.2|286|VI Renal tumors|14133019|2001
10-14|1.0|2.1|1.4|28|VI Renal tumors|19390595|2001
15-19|0.9|2.0|1.3|25|VI Renal tumors|18860805|2001
5-9|3.9|5.9|4.8|90|VI Renal tumors|18660987|2001
<1|14.5|23.5|18.6|69|VI Renal tumors|3710508|2001
1-4|17.8|22.5|20.0|283|VI(a) Nephroblastoma and other nonepithelial renal tumors|14133019|2001
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19390595|2001
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18860805|2001
5-9|3.7|5.8|4.7|87|VI(a) Nephroblastoma and other nonepithelial renal tumors|18660987|2001
<1|14.0|22.9|18.1|67|VI(a) Nephroblastoma and other nonepithelial renal tumors|3710508|2001
1-4|~|~|~|~|VI(b) Renal carcinomas|14133019|2001
10-14|~|~|~|~|VI(b) Renal carcinomas|19390595|2001
15-19|0.7|1.8|1.2|22|VI(b) Renal carcinomas|18860805|2001
5-9|~|~|~|~|VI(b) Renal carcinomas|18660987|2001
<1|~|~|~|~|VI(b) Renal carcinomas|3710508|2001
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14133019|2001
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19390595|2001
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|18860805|2001
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|18660987|2001
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3710508|2001
1-4|2.9|5.0|3.8|54|VII Hepatic tumors|14133019|2001
10-14|~|~|~|~|VII Hepatic tumors|19390595|2001
15-19|0.5|1.4|0.9|17|VII Hepatic tumors|18860805|2001
5-9|~|~|~|~|VII Hepatic tumors|18660987|2001
<1|7.5|14.4|10.5|39|VII Hepatic tumors|3710508|2001
1-4|2.7|4.7|3.6|51|VII(a) Hepatoblastoma|14133019|2001
10-14|~|~|~|~|VII(a) Hepatoblastoma|19390595|2001
15-19|~|~|~|~|VII(a) Hepatoblastoma|18860805|2001
5-9|~|~|~|~|VII(a) Hepatoblastoma|18660987|2001
<1|7.0|13.7|10.0|37|VII(a) Hepatoblastoma|3710508|2001
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14133019|2001
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19390595|2001
15-19|0.5|1.4|0.8|16|VII(b) Hepatic carcinomas|18860805|2001
5-9|~|~|~|~|VII(b) Hepatic carcinomas|18660987|2001
<1|~|~|~|~|VII(b) Hepatic carcinomas|3710508|2001
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14133019|2001
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19390595|2001
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18860805|2001
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18660987|2001
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3710508|2001
1-4|0.9|2.3|1.5|21|VIII Malignant bone tumors|14133019|2001
10-14|12.4|15.7|14.0|271|VIII Malignant bone tumors|19390595|2001
15-19|15.2|18.9|17.0|320|VIII Malignant bone tumors|18860805|2001
5-9|4.4|6.6|5.4|101|VIII Malignant bone tumors|18660987|2001
<1|~|~|~|~|VIII Malignant bone tumors|3710508|2001
1-4|~|~|~|~|VIII(a) Osteosarcomas|14133019|2001
10-14|6.8|9.4|8.0|155|VIII(a) Osteosarcomas|19390595|2001
15-19|7.8|10.5|9.1|171|VIII(a) Osteosarcomas|18860805|2001
5-9|2.2|3.8|2.9|55|VIII(a) Osteosarcomas|18660987|2001
<1|~|~|~|~|VIII(a) Osteosarcomas|3710508|2001
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14133019|2001
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19390595|2001
15-19|0.5|1.4|0.9|17|VIII(b) Chondrosarcomas|18860805|2001
5-9|~|~|~|~|VIII(b) Chondrosarcomas|18660987|2001
<1|~|~|~|~|VIII(b) Chondrosarcomas|3710508|2001
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14133019|2001
10-14|4.2|6.3|5.2|100|VIII(c) Ewing tumor and related sarcomas of bone|19390595|2001
15-19|4.6|6.9|5.7|107|VIII(c) Ewing tumor and related sarcomas of bone|18860805|2001
5-9|1.5|2.9|2.1|40|VIII(c) Ewing tumor and related sarcomas of bone|18660987|2001
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3710508|2001
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14133019|2001
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19390595|2001
15-19|0.6|1.6|1.1|20|VIII(d) Other specified malignant bone tumors|18860805|2001
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|18660987|2001
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3710508|2001
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14133019|2001
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19390595|2001
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18860805|2001
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18660987|2001
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3710508|2001
1-4|2.5|4.5|3.4|48|X Germ cell, trophoblastic tumors & neoplasms of gonads|14133019|2001
10-14|5.4|7.7|6.5|126|X Germ cell, trophoblastic tumors & neoplasms of gonads|19390595|2001
15-19|24.3|29.0|26.6|501|X Germ cell, trophoblastic tumors & neoplasms of gonads|18860805|2001
5-9|1.3|2.5|1.8|34|X Germ cell, trophoblastic tumors & neoplasms of gonads|18660987|2001
<1|16.9|26.5|21.3|79|X Germ cell, trophoblastic tumors & neoplasms of gonads|3710508|2001
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14133019|2001
10-14|2.0|3.5|2.6|51|X(a) Intracranial & intraspinal germ cell tumors|19390595|2001
15-19|1.9|3.4|2.5|48|X(a) Intracranial & intraspinal germ cell tumors|18860805|2001
5-9|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|18660987|2001
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3710508|2001
1-4|1.1|2.5|1.7|24|X(b) Malignant extracranial & extragonadal germ cell tumors|14133019|2001
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19390595|2001
15-19|1.6|2.9|2.2|41|X(b) Malignant extracranial & extragonadal germ cell tumors|18860805|2001
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18660987|2001
<1|9.8|17.5|13.2|49|X(b) Malignant extracranial & extragonadal germ cell tumors|3710508|2001
1-4|1.0|2.4|1.6|22|X(c) Malignant gonadal germ cell tumors|14133019|2001
10-14|2.3|3.9|3.0|58|X(c) Malignant gonadal germ cell tumors|19390595|2001
15-19|18.3|22.4|20.3|382|X(c) Malignant gonadal germ cell tumors|18860805|2001
5-9|0.5|1.4|0.9|16|X(c) Malignant gonadal germ cell tumors|18660987|2001
<1|3.3|8.3|5.4|20|X(c) Malignant gonadal germ cell tumors|3710508|2001
1-4|~|~|~|~|X(d) Gonadal carcinomas|14133019|2001
10-14|~|~|~|~|X(d) Gonadal carcinomas|19390595|2001
15-19|0.6|1.6|1.0|19|X(d) Gonadal carcinomas|18860805|2001
5-9|~|~|~|~|X(d) Gonadal carcinomas|18660987|2001
<1|~|~|~|~|X(d) Gonadal carcinomas|3710508|2001
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14133019|2001
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19390595|2001
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18860805|2001
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18660987|2001
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3710508|2001
1-4|1.0|2.4|1.6|22|XI Other malignant epithelial neoplasms and malignant melanomas|14133019|2001
10-14|12.8|16.2|14.4|280|XI Other malignant epithelial neoplasms and malignant melanomas|19390595|2001
15-19|42.9|49.1|45.9|866|XI Other malignant epithelial neoplasms and malignant melanomas|18860805|2001
5-9|3.1|4.9|3.9|73|XI Other malignant epithelial neoplasms and malignant melanomas|18660987|2001
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3710508|2001
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14133019|2001
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19390595|2001
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|18860805|2001
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|18660987|2001
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3710508|2001
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14133019|2001
10-14|4.6|6.8|5.6|109|XI(b) Thyroid carcinomas|19390595|2001
15-19|14.5|18.1|16.2|306|XI(b) Thyroid carcinomas|18860805|2001
5-9|0.7|1.7|1.1|21|XI(b) Thyroid carcinomas|18660987|2001
<1|~|~|~|~|XI(b) Thyroid carcinomas|3710508|2001
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14133019|2001
10-14|0.5|1.3|0.8|16|XI(c) Nasopharyngeal carcinomas|19390595|2001
15-19|0.9|2.0|1.3|25|XI(c) Nasopharyngeal carcinomas|18860805|2001
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|18660987|2001
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3710508|2001
1-4|~|~|~|~|XI(d) Malignant melanomas|14133019|2001
10-14|3.3|5.1|4.1|80|XI(d) Malignant melanomas|19390595|2001
15-19|15.3|19.1|17.1|323|XI(d) Malignant melanomas|18860805|2001
5-9|0.8|1.8|1.2|23|XI(d) Malignant melanomas|18660987|2001
<1|~|~|~|~|XI(d) Malignant melanomas|3710508|2001
1-4|~|~|~|~|XI(e) Skin carcinomas|14133019|2001
10-14|~|~|~|~|XI(e) Skin carcinomas|19390595|2001
15-19|~|~|~|~|XI(e) Skin carcinomas|18860805|2001
5-9|~|~|~|~|XI(e) Skin carcinomas|18660987|2001
<1|~|~|~|~|XI(e) Skin carcinomas|3710508|2001
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14133019|2001
10-14|2.8|4.5|3.6|69|XI(f) Other and unspecified carcinomas|19390595|2001
15-19|9.6|12.7|11.1|209|XI(f) Other and unspecified carcinomas|18860805|2001
5-9|0.8|1.8|1.2|23|XI(f) Other and unspecified carcinomas|18660987|2001
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3710508|2001
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14133019|2001
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19390595|2001
15-19|0.9|2.0|1.4|26|XII Other and unspecified malignant neoplasms|18860805|2001
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|18660987|2001
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3710508|2001
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14133019|2001
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19390595|2001
15-19|~|~|~|~|XII(a) Other specified malignant tumors|18860805|2001
5-9|~|~|~|~|XII(a) Other specified malignant tumors|18660987|2001
<1|~|~|~|~|XII(a) Other specified malignant tumors|3710508|2001
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14133019|2001
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19390595|2001
15-19|0.6|1.5|1.0|18|XII(b) Other unspecified malignant tumors|18860805|2001
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|18660987|2001
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3710508|2001
1-4|206.3|221.6|213.8|3035|All ICCC Groups Combined|14193665|2002
10-14|122.7|132.8|127.6|2490|All ICCC Groups Combined|19507073|2002
15-19|210.6|224.0|217.2|4099|All ICCC Groups Combined|18870978|2002
5-9|116.9|127.1|121.9|2223|All ICCC Groups Combined|18238526|2002
<1|234.9|267.8|251.0|910|All ICCC Groups Combined|3625838|2002
1-4|83.7|93.5|88.5|1256|I Leukemias, myeloproliferative & myelodysplastic diseases|14193665|2002
10-14|27.2|32.1|29.6|577|I Leukemias, myeloproliferative & myelodysplastic diseases|19507073|2002
15-19|28.8|33.9|31.3|590|I Leukemias, myeloproliferative & myelodysplastic diseases|18870978|2002
5-9|37.4|43.3|40.3|735|I Leukemias, myeloproliferative & myelodysplastic diseases|18238526|2002
<1|45.5|60.7|52.7|191|I Leukemias, myeloproliferative & myelodysplastic diseases|3625838|2002
1-4|69.1|78.1|73.5|1043|I(a) Lymphoid leukemias|14193665|2002
10-14|16.9|20.8|18.8|367|I(a) Lymphoid leukemias|19507073|2002
15-19|14.7|18.5|16.5|312|I(a) Lymphoid leukemias|18870978|2002
5-9|29.8|35.1|32.4|591|I(a) Lymphoid leukemias|18238526|2002
<1|14.8|24.1|19.0|69|I(a) Lymphoid leukemias|3625838|2002
1-4|9.1|12.6|10.7|152|I(b) Acute myeloid leukemias|14193665|2002
10-14|5.9|8.4|7.1|138|I(b) Acute myeloid leukemias|19507073|2002
15-19|7.8|10.6|9.1|172|I(b) Acute myeloid leukemias|18870978|2002
5-9|3.7|5.8|4.7|85|I(b) Acute myeloid leukemias|18238526|2002
<1|13.6|22.5|17.7|64|I(b) Acute myeloid leukemias|3625838|2002
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14193665|2002
10-14|1.4|2.7|2.0|39|I(c) Chronic myeloproliferative diseases|19507073|2002
15-19|2.8|4.5|3.6|67|I(c) Chronic myeloproliferative diseases|18870978|2002
5-9|0.6|1.6|1.0|19|I(c) Chronic myeloproliferative diseases|18238526|2002
<1|3.6|8.9|5.8|21|I(c) Chronic myeloproliferative diseases|3625838|2002
1-4|1.4|3.0|2.1|30|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14193665|2002
10-14|0.6|1.5|1.0|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19507073|2002
15-19|0.8|1.8|1.2|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18870978|2002
5-9|0.5|1.5|0.9|17|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18238526|2002
<1|4.7|10.5|7.2|26|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3625838|2002
1-4|0.9|2.3|1.5|21|I(e) Unspecified and other specified leukemias|14193665|2002
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|19507073|2002
15-19|0.5|1.4|0.8|16|I(e) Unspecified and other specified leukemias|18870978|2002
5-9|0.8|1.9|1.3|23|I(e) Unspecified and other specified leukemias|18238526|2002
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3625838|2002
1-4|7.9|11.2|9.4|134|II Lymphomas and reticuloendothelial neoplasms|14193665|2002
10-14|21.9|26.3|24.0|468|II Lymphomas and reticuloendothelial neoplasms|19507073|2002
15-19|47.2|53.7|50.4|951|II Lymphomas and reticuloendothelial neoplasms|18870978|2002
5-9|11.9|15.3|13.5|247|II Lymphomas and reticuloendothelial neoplasms|18238526|2002
<1|6.5|13.1|9.4|34|II Lymphomas and reticuloendothelial neoplasms|3625838|2002
1-4|~|~|~|~|II(a) Hodgkin lymphomas|14193665|2002
10-14|10.6|13.7|12.0|235|II(a) Hodgkin lymphomas|19507073|2002
15-19|30.0|35.2|32.5|613|II(a) Hodgkin lymphomas|18870978|2002
5-9|2.7|4.4|3.5|63|II(a) Hodgkin lymphomas|18238526|2002
<1|~|~|~|~|II(a) Hodgkin lymphomas|3625838|2002
1-4|3.9|6.3|5.0|71|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14193665|2002
10-14|6.9|9.5|8.1|158|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19507073|2002
15-19|12.9|16.3|14.5|274|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18870978|2002
5-9|4.9|7.1|5.9|108|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18238526|2002
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3625838|2002
1-4|1.3|2.9|2.0|28|II(c) Burkitt lymphoma|14193665|2002
10-14|2.3|4.0|3.1|60|II(c) Burkitt lymphoma|19507073|2002
15-19|1.9|3.4|2.6|49|II(c) Burkitt lymphoma|18870978|2002
5-9|2.7|4.5|3.5|64|II(c) Burkitt lymphoma|18238526|2002
<1|~|~|~|~|II(c) Burkitt lymphoma|3625838|2002
1-4|1.1|2.6|1.8|25|II(d) Miscellaneous lymphoreticular neoplasms|14193665|2002
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19507073|2002
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18870978|2002
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18238526|2002
<1|4.0|9.5|6.3|23|II(d) Miscellaneous lymphoreticular neoplasms|3625838|2002
1-4|~|~|~|~|II(e) Unspecified lymphomas|14193665|2002
10-14|~|~|~|~|II(e) Unspecified lymphomas|19507073|2002
15-19|~|~|~|~|II(e) Unspecified lymphomas|18870978|2002
5-9|~|~|~|~|II(e) Unspecified lymphomas|18238526|2002
<1|~|~|~|~|II(e) Unspecified lymphomas|3625838|2002
1-4|40.7|47.7|44.1|626|III CNS and misc intracranial and intraspinal neoplasms|14193665|2002
10-14|23.6|28.2|25.8|504|III CNS and misc intracranial and intraspinal neoplasms|19507073|2002
15-19|20.0|24.3|22.0|416|III CNS and misc intracranial and intraspinal neoplasms|18870978|2002
5-9|33.2|38.7|35.9|654|III CNS and misc intracranial and intraspinal neoplasms|18238526|2002
<1|28.2|40.5|33.9|123|III CNS and misc intracranial and intraspinal neoplasms|3625838|2002
1-4|5.1|7.8|6.3|90|III(a) Ependymomas and choroid plexus tumor|14193665|2002
10-14|1.7|3.1|2.3|45|III(a) Ependymomas and choroid plexus tumor|19507073|2002
15-19|0.6|1.6|1.1|20|III(a) Ependymomas and choroid plexus tumor|18870978|2002
5-9|1.7|3.2|2.4|43|III(a) Ependymomas and choroid plexus tumor|18238526|2002
<1|4.9|10.8|7.4|27|III(a) Ependymomas and choroid plexus tumor|3625838|2002
1-4|17.3|22.0|19.5|277|III(b) Astrocytomas|14193665|2002
10-14|12.1|15.5|13.7|268|III(b) Astrocytomas|19507073|2002
15-19|10.6|13.8|12.1|229|III(b) Astrocytomas|18870978|2002
5-9|15.4|19.2|17.2|314|III(b) Astrocytomas|18238526|2002
<1|8.6|16.0|11.9|43|III(b) Astrocytomas|3625838|2002
1-4|9.1|12.6|10.8|153|III(c) Intracranial and intraspinal embryonal tumors|14193665|2002
10-14|3.4|5.3|4.3|83|III(c) Intracranial and intraspinal embryonal tumors|19507073|2002
15-19|2.6|4.3|3.3|63|III(c) Intracranial and intraspinal embryonal tumors|18870978|2002
5-9|6.4|8.9|7.6|138|III(c) Intracranial and intraspinal embryonal tumors|18238526|2002
<1|6.7|13.4|9.7|35|III(c) Intracranial and intraspinal embryonal tumors|3625838|2002
1-4|4.8|7.5|6.1|86|III(d) Other gliomas|14193665|2002
10-14|3.7|5.7|4.6|90|III(d) Other gliomas|19507073|2002
15-19|3.5|5.5|4.4|83|III(d) Other gliomas|18870978|2002
5-9|6.5|9.1|7.7|140|III(d) Other gliomas|18238526|2002
<1|~|~|~|~|III(d) Other gliomas|3625838|2002
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14193665|2002
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19507073|2002
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18870978|2002
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18238526|2002
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3625838|2002
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14193665|2002
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19507073|2002
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18870978|2002
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18238526|2002
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3625838|2002
1-4|18.3|23.1|20.6|293|IV Neuroblastoma and other peripheral nervous cell tumors|14193665|2002
10-14|0.9|2.0|1.3|26|IV Neuroblastoma and other peripheral nervous cell tumors|19507073|2002
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|18870978|2002
5-9|3.1|5.0|3.9|72|IV Neuroblastoma and other peripheral nervous cell tumors|18238526|2002
<1|53.2|69.5|61.0|221|IV Neuroblastoma and other peripheral nervous cell tumors|3625838|2002
1-4|18.2|23.0|20.5|291|IV(a) Neuroblastoma and ganglioneuroblastoma|14193665|2002
10-14|0.7|1.8|1.2|23|IV(a) Neuroblastoma and ganglioneuroblastoma|19507073|2002
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|18870978|2002
5-9|3.0|4.8|3.8|70|IV(a) Neuroblastoma and ganglioneuroblastoma|18238526|2002
<1|53.2|69.5|61.0|221|IV(a) Neuroblastoma and ganglioneuroblastoma|3625838|2002
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14193665|2002
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19507073|2002
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18870978|2002
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18238526|2002
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3625838|2002
1-4|9.7|13.3|11.4|162|IX Soft tissue and other extraosseous sarcomas|14193665|2002
10-14|9.8|12.8|11.2|219|IX Soft tissue and other extraosseous sarcomas|19507073|2002
15-19|12.7|16.2|14.4|271|IX Soft tissue and other extraosseous sarcomas|18870978|2002
5-9|7.9|10.8|9.3|169|IX Soft tissue and other extraosseous sarcomas|18238526|2002
<1|12.9|21.6|16.8|61|IX Soft tissue and other extraosseous sarcomas|3625838|2002
1-4|7.1|10.2|8.5|121|IX(a) Rhabdomyosarcomas|14193665|2002
10-14|2.4|4.1|3.2|62|IX(a) Rhabdomyosarcomas|19507073|2002
15-19|2.6|4.3|3.3|63|IX(a) Rhabdomyosarcomas|18870978|2002
5-9|4.1|6.2|5.1|93|IX(a) Rhabdomyosarcomas|18238526|2002
<1|4.5|10.2|6.9|25|IX(a) Rhabdomyosarcomas|3625838|2002
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14193665|2002
10-14|0.9|2.0|1.3|26|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19507073|2002
15-19|0.8|1.8|1.2|23|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18870978|2002
5-9|0.5|1.5|0.9|17|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18238526|2002
<1|3.4|8.5|5.5|20|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3625838|2002
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14193665|2002
10-14|~|~|~|~|IX(c) Kaposi sarcoma|19507073|2002
15-19|~|~|~|~|IX(c) Kaposi sarcoma|18870978|2002
5-9|~|~|~|~|IX(c) Kaposi sarcoma|18238526|2002
<1|~|~|~|~|IX(c) Kaposi sarcoma|3625838|2002
1-4|1.1|2.6|1.8|25|IX(d) Other specified soft tissue sarcomas|14193665|2002
10-14|4.4|6.5|5.4|105|IX(d) Other specified soft tissue sarcomas|19507073|2002
15-19|7.4|10.1|8.7|164|IX(d) Other specified soft tissue sarcomas|18870978|2002
5-9|1.8|3.4|2.5|46|IX(d) Other specified soft tissue sarcomas|18238526|2002
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3625838|2002
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14193665|2002
10-14|0.9|2.0|1.3|26|IX(e) Unspecified soft tissue sarcomas|19507073|2002
15-19|0.7|1.7|1.1|21|IX(e) Unspecified soft tissue sarcomas|18870978|2002
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|18238526|2002
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3625838|2002
1-4|~|~|~|~|Not classified by ICCC|14193665|2002
10-14|~|~|~|~|Not classified by ICCC|19507073|2002
15-19|~|~|~|~|Not classified by ICCC|18870978|2002
5-9|~|~|~|~|Not classified by ICCC|18238526|2002
<1|~|~|~|~|Not classified by ICCC|3625838|2002
1-4|6.9|10.0|8.4|119|V Retinoblastoma|14193665|2002
10-14|~|~|~|~|V Retinoblastoma|19507073|2002
15-19|~|~|~|~|V Retinoblastoma|18870978|2002
5-9|~|~|~|~|V Retinoblastoma|18238526|2002
<1|19.0|29.3|23.7|86|V Retinoblastoma|3625838|2002
1-4|17.0|21.7|19.2|273|VI Renal tumors|14193665|2002
10-14|0.7|1.7|1.1|22|VI Renal tumors|19507073|2002
15-19|0.8|1.9|1.3|24|VI Renal tumors|18870978|2002
5-9|3.9|5.9|4.8|88|VI Renal tumors|18238526|2002
<1|14.6|23.8|18.8|68|VI Renal tumors|3625838|2002
1-4|16.9|21.5|19.1|271|VI(a) Nephroblastoma and other nonepithelial renal tumors|14193665|2002
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19507073|2002
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18870978|2002
5-9|3.7|5.7|4.6|84|VI(a) Nephroblastoma and other nonepithelial renal tumors|18238526|2002
<1|14.6|23.8|18.8|68|VI(a) Nephroblastoma and other nonepithelial renal tumors|3625838|2002
1-4|~|~|~|~|VI(b) Renal carcinomas|14193665|2002
10-14|~|~|~|~|VI(b) Renal carcinomas|19507073|2002
15-19|0.7|1.7|1.1|21|VI(b) Renal carcinomas|18870978|2002
5-9|~|~|~|~|VI(b) Renal carcinomas|18238526|2002
<1|~|~|~|~|VI(b) Renal carcinomas|3625838|2002
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14193665|2002
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19507073|2002
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|18870978|2002
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|18238526|2002
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3625838|2002
1-4|2.9|5.0|3.9|55|VII Hepatic tumors|14193665|2002
10-14|~|~|~|~|VII Hepatic tumors|19507073|2002
