AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|0.1|0.2|0.2|Malignant|330|201277501|Male|Glioblastoma|2006-2010|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Glioblastoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|68|41633209|Male|Glioblastoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Glioblastoma|2008|~|~|~
0-19|0.1|0.2|0.1|Malignant|62|41808227|Male|Glioblastoma|2008|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Glioblastoma|2009|~|~|~
0-19|0.2|0.2|0.2|Malignant|80|41876403|Male|Glioblastoma|2009|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Glioblastoma|2010|~|~|~
0-19|0.1|0.2|0.2|Malignant|63|41417074|Male|Glioblastoma|2010|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Glioma malignant, NOS|2004|~|~|~
0-19|0.5|0.6|0.6|Malignant|225|40123936|Male|Glioma malignant, NOS|2004|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Glioma malignant, NOS|2005|~|~|~
0-19|0.5|0.6|0.5|Malignant|215|40236151|Male|Glioma malignant, NOS|2005|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Glioma malignant, NOS|2006|~|~|~
0-19|0.5|0.7|0.6|Malignant|231|40380809|Male|Glioma malignant, NOS|2006|0.5|0.7|0.6
0-19|0.0|0.0|0.0|Benign/Borderline|29|201277501|Male|Glioma malignant, NOS|2006-2010|0.0|0.0|0.0
0-19|0.6|0.6|0.6|Malignant|1171|201277501|Male|Glioma malignant, NOS|2006-2010|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Glioma malignant, NOS|2007|~|~|~
0-19|0.5|0.7|0.6|Malignant|238|41633209|Male|Glioma malignant, NOS|2007|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Glioma malignant, NOS|2008|~|~|~
0-19|0.5|0.7|0.6|Malignant|251|41808227|Male|Glioma malignant, NOS|2008|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Glioma malignant, NOS|2009|~|~|~
0-19|0.5|0.7|0.6|Malignant|253|41876403|Male|Glioma malignant, NOS|2009|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Glioma malignant, NOS|2010|~|~|~
0-19|0.5|0.6|0.6|Malignant|229|41417074|Male|Glioma malignant, NOS|2010|0.5|0.6|0.6
0-19|0.0|0.1|0.0|Benign/Borderline|17|40123936|Male|Hemangioblastoma|2004|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40123936|Male|Hemangioblastoma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Hemangioblastoma|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Hemangioblastoma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Hemangioblastoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Hemangioblastoma|2006|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|64|201277501|Male|Hemangioblastoma|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|201277501|Male|Hemangioblastoma|2006-2010|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|18|41633209|Male|Hemangioblastoma|2007|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|41633209|Male|Hemangioblastoma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Hemangioblastoma|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Hemangioblastoma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Hemangioblastoma|2010|~|~|~
0-19|~|~|~|Malignant|~|41417074|Male|Hemangioblastoma|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|24|40123936|Male|Hemangioma|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40123936|Male|Hemangioma|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|40236151|Male|Hemangioma|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40236151|Male|Hemangioma|2005|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|31|40380809|Male|Hemangioma|2006|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40380809|Male|Hemangioma|2006|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|193|201277501|Male|Hemangioma|2006-2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|201277501|Male|Hemangioma|2006-2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|40|41633209|Male|Hemangioma|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41633209|Male|Hemangioma|2007|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|41808227|Male|Hemangioma|2008|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|41808227|Male|Hemangioma|2008|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|50|41876403|Male|Hemangioma|2009|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41876403|Male|Hemangioma|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|44|41417074|Male|Hemangioma|2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41417074|Male|Hemangioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Malignant|~|40123936|Male|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Local Extensions from Regional Tumors|2006-2010|~|~|~
0-19|~|~|~|Malignant|~|201277501|Male|Local Extensions from Regional Tumors|2006-2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Malignant|~|41633209|Male|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Malignant|~|41417074|Male|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Malignant|~|40123936|Male|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Lymphomas and Hematopoietic Neoplasms|2006-2010|~|~|~
0-19|0.0|0.0|0.0|Malignant|47|201277501|Male|Lymphomas and Hematopoietic Neoplasms|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
0-19|~|~|~|Malignant|~|41633209|Male|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
0-19|~|~|~|Malignant|~|41417074|Male|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|40|40123936|Male|Meningioma|2004|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40123936|Male|Meningioma|2004|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|50|40236151|Male|Meningioma|2005|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40236151|Male|Meningioma|2005|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|47|40380809|Male|Meningioma|2006|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40380809|Male|Meningioma|2006|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|245|201277501|Male|Meningioma|2006-2010|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|19|201277501|Male|Meningioma|2006-2010|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Benign/Borderline|48|41633209|Male|Meningioma|2007|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41633209|Male|Meningioma|2007|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|50|41808227|Male|Meningioma|2008|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41808227|Male|Meningioma|2008|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|57|41876403|Male|Meningioma|2009|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41876403|Male|Meningioma|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|45|41417074|Male|Meningioma|2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41417074|Male|Meningioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Mixed glioma|2004|~|~|~
0-19|~|~|~|Malignant|~|40123936|Male|Mixed glioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Mixed glioma|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Mixed glioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Mixed glioma|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Mixed glioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Mixed glioma|2006-2010|~|~|~
0-19|0.0|0.0|0.0|Malignant|67|201277501|Male|Mixed glioma|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Mixed glioma|2007|~|~|~
0-19|~|~|~|Malignant|~|41633209|Male|Mixed glioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Mixed glioma|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Mixed glioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Mixed glioma|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Mixed glioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Mixed glioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|41417074|Male|Mixed glioma|2010|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|27|40123936|Male|Neoplasm, unspecified|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40123936|Male|Neoplasm, unspecified|2004|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|40236151|Male|Neoplasm, unspecified|2005|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Malignant|18|40236151|Male|Neoplasm, unspecified|2005|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|46|40380809|Male|Neoplasm, unspecified|2006|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|25|40380809|Male|Neoplasm, unspecified|2006|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|283|201277501|Male|Neoplasm, unspecified|2006-2010|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|104|201277501|Male|Neoplasm, unspecified|2006-2010|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|61|41633209|Male|Neoplasm, unspecified|2007|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|22|41633209|Male|Neoplasm, unspecified|2007|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Benign/Borderline|42|41808227|Male|Neoplasm, unspecified|2008|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Malignant|20|41808227|Male|Neoplasm, unspecified|2008|0.0|0.1|0.0
0-19|0.2|0.2|0.2|Benign/Borderline|83|41876403|Male|Neoplasm, unspecified|2009|0.2|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|24|41876403|Male|Neoplasm, unspecified|2009|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|63|41417074|Male|Neoplasm, unspecified|2010|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|17|41417074|Male|Neoplasm, unspecified|2010|0.0|0.1|0.0
0-19|0.2|0.3|0.3|Benign/Borderline|111|40123936|Male|Nerve sheath, benign and malignant|2004|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|40123936|Male|Nerve sheath, benign and malignant|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|105|40236151|Male|Nerve sheath, benign and malignant|2005|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|40236151|Male|Nerve sheath, benign and malignant|2005|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|144|40380809|Male|Nerve sheath, benign and malignant|2006|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40380809|Male|Nerve sheath, benign and malignant|2006|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|576|201277501|Male|Nerve sheath, benign and malignant|2006-2010|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|201277501|Male|Nerve sheath, benign and malignant|2006-2010|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|127|41633209|Male|Nerve sheath, benign and malignant|2007|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41633209|Male|Nerve sheath, benign and malignant|2007|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|120|41808227|Male|Nerve sheath, benign and malignant|2008|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|41808227|Male|Nerve sheath, benign and malignant|2008|~|~|~
0-19|0.2|0.4|0.3|Benign/Borderline|126|41876403|Male|Nerve sheath, benign and malignant|2009|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41876403|Male|Nerve sheath, benign and malignant|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|103|41417074|Male|Nerve sheath, benign and malignant|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|41417074|Male|Nerve sheath, benign and malignant|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Malignant|~|40123936|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Neuroepithelial|2006-2010|~|~|~
0-19|~|~|~|Malignant|~|201277501|Male|Neuroepithelial|2006-2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Malignant|~|41633209|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|41417074|Male|Neuroepithelial|2010|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|142|40123936|Male|Neuronal/glial, neuronal|2004|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|28|40123936|Male|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|149|40236151|Male|Neuronal/glial, neuronal|2005|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|29|40236151|Male|Neuronal/glial, neuronal|2005|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|146|40380809|Male|Neuronal/glial, neuronal|2006|0.3|0.4|0.4
0-19|0.1|0.1|0.1|Malignant|30|40380809|Male|Neuronal/glial, neuronal|2006|0.1|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|751|201277501|Male|Neuronal/glial, neuronal|2006-2010|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|112|201277501|Male|Neuronal/glial, neuronal|2006-2010|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|161|41633209|Male|Neuronal/glial, neuronal|2007|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|30|41633209|Male|Neuronal/glial, neuronal|2007|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|160|41808227|Male|Neuronal/glial, neuronal|2008|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|27|41808227|Male|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|149|41876403|Male|Neuronal/glial, neuronal|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|41876403|Male|Neuronal/glial, neuronal|2009|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|153|41417074|Male|Neuronal/glial, neuronal|2010|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|41417074|Male|Neuronal/glial, neuronal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Oligodendroglioma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|35|40123936|Male|Oligodendroglioma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|28|40236151|Male|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|26|40380809|Male|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Oligodendroglioma|2006-2010|~|~|~
0-19|0.0|0.1|0.1|Malignant|115|201277501|Male|Oligodendroglioma|2006-2010|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|22|41633209|Male|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Oligodendroglioma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|30|41808227|Male|Oligodendroglioma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|41876403|Male|Oligodendroglioma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|41417074|Male|Oligodendroglioma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|40123936|Male|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|40236151|Male|Other mesenchymal|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40236151|Male|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|16|40380809|Male|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40380809|Male|Other mesenchymal|2006|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|75|201277501|Male|Other mesenchymal|2006-2010|0.0|0.0|0.0
0-19|0.0|0.0|0.0|Malignant|22|201277501|Male|Other mesenchymal|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Other mesenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|41633209|Male|Other mesenchymal|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Other mesenchymal|2008|~|~|~
0-19|~|~|~|Malignant|~|41808227|Male|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|41876403|Male|Other mesenchymal|2009|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|41876403|Male|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|18|41417074|Male|Other mesenchymal|2010|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|41417074|Male|Other mesenchymal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Pilocytic astrocytoma|2004|~|~|~
0-19|0.8|1.0|0.9|Malignant|350|40123936|Male|Pilocytic astrocytoma|2004|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Pilocytic astrocytoma|2005|~|~|~
0-19|0.7|0.9|0.8|Malignant|321|40236151|Male|Pilocytic astrocytoma|2005|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Pilocytic astrocytoma|2006|~|~|~
0-19|0.8|0.9|0.8|Malignant|338|40380809|Male|Pilocytic astrocytoma|2006|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Pilocytic astrocytoma|2006-2010|~|~|~
0-19|0.8|0.9|0.8|Malignant|1667|201277501|Male|Pilocytic astrocytoma|2006-2010|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Pilocytic astrocytoma|2007|~|~|~
0-19|0.7|0.9|0.8|Malignant|333|41633209|Male|Pilocytic astrocytoma|2007|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Pilocytic astrocytoma|2008|~|~|~
0-19|0.8|1.0|0.9|Malignant|367|41808227|Male|Pilocytic astrocytoma|2008|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Pilocytic astrocytoma|2009|~|~|~
0-19|0.7|0.9|0.8|Malignant|344|41876403|Male|Pilocytic astrocytoma|2009|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Pilocytic astrocytoma|2010|~|~|~
0-19|0.7|0.9|0.8|Malignant|343|41417074|Male|Pilocytic astrocytoma|2010|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40123936|Male|Pineal parenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40123936|Male|Pineal parenchymal|2004|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40236151|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Malignant|~|40236151|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40380809|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Malignant|~|40380809|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|201277501|Male|Pineal parenchymal|2006-2010|~|~|~
0-19|0.0|0.0|0.0|Malignant|68|201277501|Male|Pineal parenchymal|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|41633209|Male|Pineal parenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|41633209|Male|Pineal parenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41808227|Male|Pineal parenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|41808227|Male|Pineal parenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41876403|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Malignant|~|41876403|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|41417074|Male|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Malignant|~|41417074|Male|Pineal parenchymal|2010|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|77|40123936|Male|Pituitary|2004|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40123936|Male|Pituitary|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|109|40236151|Male|Pituitary|2005|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|40236151|Male|Pituitary|2005|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|84|40380809|Male|Pituitary|2006|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40380809|Male|Pituitary|2006|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|543|201277501|Male|Pituitary|2006-2010|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|201277501|Male|Pituitary|2006-2010|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|109|41633209|Male|Pituitary|2007|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|41633209|Male|Pituitary|2007|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|120|41808227|Male|Pituitary|2008|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|41808227|Male|Pituitary|2008|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|140|41876403|Male|Pituitary|2009|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41876403|Male|Pituitary|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|103|41417074|Male|Pituitary|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|41417074|Male|Pituitary|2010|~|~|~
0-19|1.4|1.7|1.5|Benign/Borderline|619|40123936|Male|Total|2004|1.4|1.7|1.5
0-19|3.4|3.8|3.6|Malignant|1427|40123936|Male|Total|2004|3.4|3.7|3.6
0-19|1.6|1.9|1.7|Benign/Borderline|705|40236151|Male|Total|2005|1.6|1.9|1.8
0-19|3.2|3.5|3.4|Malignant|1345|40236151|Male|Total|2005|3.2|3.5|3.3
0-19|1.6|1.9|1.8|Benign/Borderline|720|40380809|Male|Total|2006|1.7|1.9|1.8
