AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
<1|~|~|~|~|Incidence|1823057|Female Breast|2003
1-4|~|~|~|~|Incidence|7166579|Female Breast, <i>in situ</i>|2003
10-14|~|~|~|~|Incidence|9805212|Female Breast, <i>in situ</i>|2003
15-19|~|~|~|~|Incidence|9455633|Female Breast, <i>in situ</i>|2003
5-9|~|~|~|~|Incidence|8994184|Female Breast, <i>in situ</i>|2003
<1|~|~|~|~|Incidence|1823057|Female Breast, <i>in situ</i>|2003
1-4|~|~|~|~|Mortality|15616575|Hodgkin Lymphoma|2003
10-14|~|~|~|~|Mortality|21415353|Hodgkin Lymphoma|2003
15-19|0.0|0.1|0.1|16|Mortality|20797166|Hodgkin Lymphoma|2003
5-9|~|~|~|~|Mortality|19620851|Hodgkin Lymphoma|2003
<1|~|~|~|~|Mortality|3975871|Hodgkin Lymphoma|2003
1-4|0.1|0.2|0.1|18|Incidence|14656045|Hodgkin Lymphoma|2003
10-14|1.0|1.3|1.1|229|Incidence|20102523|Hodgkin Lymphoma|2003
15-19|2.9|3.4|3.1|607|Incidence|19504602|Hodgkin Lymphoma|2003
5-9|0.3|0.5|0.4|79|Incidence|18417979|Hodgkin Lymphoma|2003
<1|~|~|~|~|Incidence|3732773|Hodgkin Lymphoma|2003
1-4|.|.|.|.|Mortality|15616575|Kaposi Sarcoma|2003
10-14|.|.|.|.|Mortality|21415353|Kaposi Sarcoma|2003
15-19|.|.|.|.|Mortality|20797166|Kaposi Sarcoma|2003
5-9|.|.|.|.|Mortality|19620851|Kaposi Sarcoma|2003
<1|.|.|.|.|Mortality|3975871|Kaposi Sarcoma|2003
1-4|~|~|~|~|Incidence|14656045|Kaposi Sarcoma|2003
10-14|~|~|~|~|Incidence|20102523|Kaposi Sarcoma|2003
15-19|~|~|~|~|Incidence|19504602|Kaposi Sarcoma|2003
5-9|~|~|~|~|Incidence|18417979|Kaposi Sarcoma|2003
<1|~|~|~|~|Incidence|3732773|Kaposi Sarcoma|2003
1-4|~|~|~|~|Mortality|15616575|Kidney and Renal Pelvis|2003
10-14|~|~|~|~|Mortality|21415353|Kidney and Renal Pelvis|2003
15-19|~|~|~|~|Mortality|20797166|Kidney and Renal Pelvis|2003
5-9|0.1|0.2|0.1|28|Mortality|19620851|Kidney and Renal Pelvis|2003
<1|~|~|~|~|Mortality|3975871|Kidney and Renal Pelvis|2003
1-4|1.8|2.3|2.0|296|Incidence|14656045|Kidney and Renal Pelvis|2003
10-14|0.1|0.2|0.2|33|Incidence|20102523|Kidney and Renal Pelvis|2003
15-19|0.1|0.2|0.1|29|Incidence|19504602|Kidney and Renal Pelvis|2003
5-9|0.4|0.7|0.5|99|Incidence|18417979|Kidney and Renal Pelvis|2003
<1|1.5|2.4|1.9|70|Incidence|3732773|Kidney and Renal Pelvis|2003
1-4|~|~|~|~|Mortality|15616575|Larynx|2003
10-14|~|~|~|~|Mortality|21415353|Larynx|2003
15-19|~|~|~|~|Mortality|20797166|Larynx|2003
5-9|~|~|~|~|Mortality|19620851|Larynx|2003
<1|~|~|~|~|Mortality|3975871|Larynx|2003
1-4|~|~|~|~|Incidence|14656045|Larynx|2003
10-14|~|~|~|~|Incidence|20102523|Larynx|2003
15-19|~|~|~|~|Incidence|19504602|Larynx|2003
5-9|~|~|~|~|Incidence|18417979|Larynx|2003
<1|~|~|~|~|Incidence|3732773|Larynx|2003
1-4|0.7|1.0|0.9|133|Mortality|15616575|Leukemias|2003
10-14|0.7|1.0|0.9|186|Mortality|21415353|Leukemias|2003
15-19|0.8|1.0|0.9|183|Mortality|20797166|Leukemias|2003
5-9|0.7|0.9|0.8|156|Mortality|19620851|Leukemias|2003
<1|0.5|1.1|0.8|30|Mortality|3975871|Leukemias|2003
1-4|7.7|8.7|8.2|1201|Incidence|14656045|Leukemias|2003
10-14|2.3|2.8|2.6|515|Incidence|20102523|Leukemias|2003
15-19|2.5|3.0|2.7|533|Incidence|19504602|Leukemias|2003
5-9|3.6|4.1|3.9|710|Incidence|18417979|Leukemias|2003
<1|3.7|5.1|4.3|162|Incidence|3732773|Leukemias|2003
1-4|0.1|0.2|0.1|23|Mortality|15616575|Liver and Intrahepatic Bile Duct|2003
10-14|~|~|~|~|Mortality|21415353|Liver and Intrahepatic Bile Duct|2003
15-19|~|~|~|~|Mortality|20797166|Liver and Intrahepatic Bile Duct|2003
5-9|~|~|~|~|Mortality|19620851|Liver and Intrahepatic Bile Duct|2003
<1|~|~|~|~|Mortality|3975871|Liver and Intrahepatic Bile Duct|2003
1-4|0.4|0.6|0.5|69|Incidence|14656045|Liver and Intrahepatic Bile Duct|2003
10-14|0.1|0.2|0.1|27|Incidence|20102523|Liver and Intrahepatic Bile Duct|2003
15-19|0.1|0.2|0.1|21|Incidence|19504602|Liver and Intrahepatic Bile Duct|2003
5-9|0.0|0.1|0.1|16|Incidence|18417979|Liver and Intrahepatic Bile Duct|2003
<1|1.1|1.9|1.4|54|Incidence|3732773|Liver and Intrahepatic Bile Duct|2003
1-4|~|~|~|~|Mortality|15616575|Lung and Bronchus|2003
10-14|~|~|~|~|Mortality|21415353|Lung and Bronchus|2003
15-19|~|~|~|~|Mortality|20797166|Lung and Bronchus|2003
5-9|~|~|~|~|Mortality|19620851|Lung and Bronchus|2003
<1|~|~|~|~|Mortality|3975871|Lung and Bronchus|2003
1-4|~|~|~|~|Incidence|14656045|Lung and Bronchus|2003
10-14|~|~|~|~|Incidence|20102523|Lung and Bronchus|2003
15-19|0.1|0.2|0.1|26|Incidence|19504602|Lung and Bronchus|2003
5-9|~|~|~|~|Incidence|18417979|Lung and Bronchus|2003
<1|~|~|~|~|Incidence|3732773|Lung and Bronchus|2003
1-4|~|~|~|~|Mortality|7636693|Male and Female Breast|2003
10-14|~|~|~|~|Mortality|10444875|Male and Female Breast|2003
15-19|~|~|~|~|Mortality|10086567|Male and Female Breast|2003
5-9|~|~|~|~|Mortality|9581247|Male and Female Breast|2003
<1|~|~|~|~|Mortality|1942634|Male and Female Breast|2003
1-4|~|~|~|~|Incidence|7166579|Male and Female Breast|2003
10-14|~|~|~|~|Incidence|9805212|Male and Female Breast|2003
15-19|0.1|0.3|0.2|17|Incidence|9455633|Male and Female Breast|2003
5-9|~|~|~|~|Incidence|8994184|Male and Female Breast|2003
<1|~|~|~|~|Incidence|1823057|Male and Female Breast|2003
1-4|~|~|~|~|Incidence|7166579|Male and Female Breast, <i>in situ</i>|2003
10-14|~|~|~|~|Incidence|9805212|Male and Female Breast, <i>in situ</i>|2003
15-19|~|~|~|~|Incidence|9455633|Male and Female Breast, <i>in situ</i>|2003
5-9|~|~|~|~|Incidence|8994184|Male and Female Breast, <i>in situ</i>|2003
<1|~|~|~|~|Incidence|1823057|Male and Female Breast, <i>in situ</i>|2003
1-4|~|~|~|~|Mortality|15616575|Melanomas of the Skin|2003
10-14|~|~|~|~|Mortality|21415353|Melanomas of the Skin|2003
15-19|~|~|~|~|Mortality|20797166|Melanomas of the Skin|2003
5-9|~|~|~|~|Mortality|19620851|Melanomas of the Skin|2003
<1|~|~|~|~|Mortality|3975871|Melanomas of the Skin|2003
1-4|~|~|~|~|Incidence|14656045|Melanomas of the Skin|2003
10-14|0.3|0.5|0.4|75|Incidence|20102523|Melanomas of the Skin|2003
15-19|1.6|1.9|1.7|338|Incidence|19504602|Melanomas of the Skin|2003
5-9|~|~|~|~|Incidence|18417979|Melanomas of the Skin|2003
<1|~|~|~|~|Incidence|3732773|Melanomas of the Skin|2003
1-4|~|~|~|~|Mortality|15616575|Mesothelioma|2003
10-14|~|~|~|~|Mortality|21415353|Mesothelioma|2003
15-19|~|~|~|~|Mortality|20797166|Mesothelioma|2003
5-9|~|~|~|~|Mortality|19620851|Mesothelioma|2003
<1|~|~|~|~|Mortality|3975871|Mesothelioma|2003
1-4|~|~|~|~|Incidence|14656045|Mesothelioma|2003
10-14|~|~|~|~|Incidence|20102523|Mesothelioma|2003
15-19|~|~|~|~|Incidence|19504602|Mesothelioma|2003
5-9|~|~|~|~|Incidence|18417979|Mesothelioma|2003
<1|~|~|~|~|Incidence|3732773|Mesothelioma|2003
1-4|~|~|~|~|Mortality|15616575|Myeloma|2003
10-14|~|~|~|~|Mortality|21415353|Myeloma|2003
15-19|~|~|~|~|Mortality|20797166|Myeloma|2003
5-9|~|~|~|~|Mortality|19620851|Myeloma|2003
<1|~|~|~|~|Mortality|3975871|Myeloma|2003
1-4|~|~|~|~|Incidence|14656045|Myeloma|2003
10-14|~|~|~|~|Incidence|20102523|Myeloma|2003
15-19|~|~|~|~|Incidence|19504602|Myeloma|2003
5-9|~|~|~|~|Incidence|18417979|Myeloma|2003
<1|~|~|~|~|Incidence|3732773|Myeloma|2003
1-4|~|~|~|~|Mortality|15616575|Non-Hodgkin Lymphoma|2003
10-14|0.1|0.2|0.1|28|Mortality|21415353|Non-Hodgkin Lymphoma|2003
15-19|0.2|0.3|0.3|53|Mortality|20797166|Non-Hodgkin Lymphoma|2003
5-9|0.1|0.1|0.1|17|Mortality|19620851|Non-Hodgkin Lymphoma|2003
<1|~|~|~|~|Mortality|3975871|Non-Hodgkin Lymphoma|2003
1-4|0.6|0.9|0.7|103|Incidence|14656045|Non-Hodgkin Lymphoma|2003
10-14|0.9|1.2|1.0|206|Incidence|20102523|Non-Hodgkin Lymphoma|2003
15-19|1.4|1.8|1.6|315|Incidence|19504602|Non-Hodgkin Lymphoma|2003
5-9|0.9|1.2|1.0|189|Incidence|18417979|Non-Hodgkin Lymphoma|2003
<1|~|~|~|~|Incidence|3732773|Non-Hodgkin Lymphoma|2003
1-4|~|~|~|~|Mortality|15616575|Oral Cavity and Pharynx|2003
10-14|~|~|~|~|Mortality|21415353|Oral Cavity and Pharynx|2003
15-19|~|~|~|~|Mortality|20797166|Oral Cavity and Pharynx|2003
5-9|~|~|~|~|Mortality|19620851|Oral Cavity and Pharynx|2003
<1|~|~|~|~|Mortality|3975871|Oral Cavity and Pharynx|2003
1-4|~|~|~|~|Incidence|14656045|Oral Cavity and Pharynx|2003
10-14|0.2|0.4|0.3|56|Incidence|20102523|Oral Cavity and Pharynx|2003
15-19|0.4|0.6|0.5|101|Incidence|19504602|Oral Cavity and Pharynx|2003
5-9|0.1|0.2|0.2|28|Incidence|18417979|Oral Cavity and Pharynx|2003
<1|~|~|~|~|Incidence|3732773|Oral Cavity and Pharynx|2003
1-4|~|~|~|~|Mortality|7636693|Ovary|2003
10-14|~|~|~|~|Mortality|10444875|Ovary|2003
15-19|~|~|~|~|Mortality|10086567|Ovary|2003
5-9|~|~|~|~|Mortality|9581247|Ovary|2003
<1|~|~|~|~|Mortality|1942634|Ovary|2003
1-4|~|~|~|~|Incidence|7166579|Ovary|2003
10-14|0.6|1.0|0.8|75|Incidence|9805212|Ovary|2003
15-19|1.0|1.5|1.3|119|Incidence|9455633|Ovary|2003
5-9|~|~|~|~|Incidence|8994184|Ovary|2003
<1|~|~|~|~|Incidence|1823057|Ovary|2003
1-4|~|~|~|~|Mortality|15616575|Pancreas|2003
10-14|~|~|~|~|Mortality|21415353|Pancreas|2003
15-19|~|~|~|~|Mortality|20797166|Pancreas|2003
5-9|~|~|~|~|Mortality|19620851|Pancreas|2003
<1|~|~|~|~|Mortality|3975871|Pancreas|2003
1-4|~|~|~|~|Incidence|14656045|Pancreas|2003
10-14|~|~|~|~|Incidence|20102523|Pancreas|2003
15-19|~|~|~|~|Incidence|19504602|Pancreas|2003
5-9|~|~|~|~|Incidence|18417979|Pancreas|2003
<1|~|~|~|~|Incidence|3732773|Pancreas|2003
1-4|~|~|~|~|Mortality|7979882|Prostate|2003
10-14|~|~|~|~|Mortality|10970478|Prostate|2003
15-19|~|~|~|~|Mortality|10710599|Prostate|2003
5-9|~|~|~|~|Mortality|10039604|Prostate|2003
<1|~|~|~|~|Mortality|2033237|Prostate|2003
1-4|~|~|~|~|Incidence|7489466|Prostate|2003
10-14|~|~|~|~|Incidence|10297311|Prostate|2003
15-19|~|~|~|~|Incidence|10048969|Prostate|2003
5-9|~|~|~|~|Incidence|9423795|Prostate|2003
<1|~|~|~|~|Incidence|1909716|Prostate|2003
1-4|~|~|~|~|Mortality|15616575|Stomach|2003
10-14|~|~|~|~|Mortality|21415353|Stomach|2003
15-19|~|~|~|~|Mortality|20797166|Stomach|2003
5-9|~|~|~|~|Mortality|19620851|Stomach|2003
<1|~|~|~|~|Mortality|3975871|Stomach|2003
1-4|~|~|~|~|Incidence|14656045|Stomach|2003
10-14|~|~|~|~|Incidence|20102523|Stomach|2003
15-19|~|~|~|~|Incidence|19504602|Stomach|2003
5-9|~|~|~|~|Incidence|18417979|Stomach|2003
<1|~|~|~|~|Incidence|3732773|Stomach|2003
1-4|~|~|~|~|Mortality|7979882|Testis|2003
10-14|~|~|~|~|Mortality|10970478|Testis|2003
15-19|~|~|~|~|Mortality|10710599|Testis|2003
5-9|~|~|~|~|Mortality|10039604|Testis|2003
<1|~|~|~|~|Mortality|2033237|Testis|2003
1-4|0.2|0.4|0.3|21|Incidence|7489466|Testis|2003
10-14|0.1|0.3|0.2|24|Incidence|10297311|Testis|2003
15-19|3.0|3.8|3.4|339|Incidence|10048969|Testis|2003
5-9|~|~|~|~|Incidence|9423795|Testis|2003
<1|~|~|~|~|Incidence|1909716|Testis|2003
1-4|~|~|~|~|Mortality|15616575|Thyroid|2003
10-14|~|~|~|~|Mortality|21415353|Thyroid|2003
15-19|~|~|~|~|Mortality|20797166|Thyroid|2003
5-9|~|~|~|~|Mortality|19620851|Thyroid|2003
<1|~|~|~|~|Mortality|3975871|Thyroid|2003
1-4|~|~|~|~|Incidence|14656045|Thyroid|2003
10-14|0.4|0.6|0.5|107|Incidence|20102523|Thyroid|2003
15-19|1.6|2.0|1.8|343|Incidence|19504602|Thyroid|2003
5-9|~|~|~|~|Incidence|18417979|Thyroid|2003
<1|~|~|~|~|Incidence|3732773|Thyroid|2003
1-4|~|~|~|~|Mortality|15616575|Urinary Bladder|2003
10-14|~|~|~|~|Mortality|21415353|Urinary Bladder|2003
15-19|~|~|~|~|Mortality|20797166|Urinary Bladder|2003
5-9|~|~|~|~|Mortality|19620851|Urinary Bladder|2003
<1|~|~|~|~|Mortality|3975871|Urinary Bladder|2003
1-4|~|~|~|~|Incidence|14656045|Urinary Bladder|2003
10-14|~|~|~|~|Incidence|20102523|Urinary Bladder|2003
15-19|0.1|0.2|0.1|21|Incidence|19504602|Urinary Bladder|2003
5-9|~|~|~|~|Incidence|18417979|Urinary Bladder|2003
<1|~|~|~|~|Incidence|3732773|Urinary Bladder|2003
1-4|2.3|2.8|2.5|399|Mortality|15771627|All Cancer Sites Combined|2004
10-14|2.1|2.5|2.3|493|Mortality|21411680|All Cancer Sites Combined|2004
15-19|3.2|3.7|3.5|731|Mortality|21102552|All Cancer Sites Combined|2004
5-9|2.5|2.9|2.7|526|Mortality|19454237|All Cancer Sites Combined|2004
<1|1.4|2.3|1.8|74|Mortality|4014258|All Cancer Sites Combined|2004
1-4|21.4|22.9|22.1|3346|Incidence|15108940|All Cancer Sites Combined|2004
10-14|12.8|13.8|13.2|2717|Incidence|20515088|All Cancer Sites Combined|2004
15-19|20.9|22.1|21.5|4341|Incidence|20195422|All Cancer Sites Combined|2004
5-9|11.4|12.4|11.9|2215|Incidence|18639099|All Cancer Sites Combined|2004
<1|24.2|27.5|25.8|992|Incidence|3842951|All Cancer Sites Combined|2004
1-4|0.5|0.8|0.6|102|Mortality|15771627|Brain and Other Nervous System|2004
10-14|0.5|0.8|0.6|139|Mortality|21411680|Brain and Other Nervous System|2004
15-19|0.4|0.6|0.5|109|Mortality|21102552|Brain and Other Nervous System|2004
5-9|0.8|1.1|1.0|186|Mortality|19454237|Brain and Other Nervous System|2004
<1|0.3|0.7|0.5|19|Mortality|4014258|Brain and Other Nervous System|2004
1-4|4.2|4.9|4.6|688|Incidence|15108940|Brain and Other Nervous System|2004
10-14|2.5|2.9|2.7|548|Incidence|20515088|Brain and Other Nervous System|2004
15-19|2.1|2.5|2.3|469|Incidence|20195422|Brain and Other Nervous System|2004
5-9|3.3|3.9|3.6|673|Incidence|18639099|Brain and Other Nervous System|2004
<1|3.7|5.0|4.3|166|Incidence|3842951|Brain and Other Nervous System|2004
1-4|~|~|~|~|Mortality|7713175|Cervix|2004
10-14|~|~|~|~|Mortality|10443706|Cervix|2004
15-19|~|~|~|~|Mortality|10242793|Cervix|2004
5-9|~|~|~|~|Mortality|9503231|Cervix|2004
<1|~|~|~|~|Mortality|1962216|Cervix|2004
1-4|~|~|~|~|Incidence|7388346|Cervix|2004
10-14|~|~|~|~|Incidence|10006800|Cervix|2004
15-19|~|~|~|~|Incidence|9799213|Cervix|2004
5-9|~|~|~|~|Incidence|9104487|Cervix|2004
<1|~|~|~|~|Incidence|1878718|Cervix|2004
1-4|~|~|~|~|Mortality|15771627|Colon and Rectum|2004
10-14|~|~|~|~|Mortality|21411680|Colon and Rectum|2004
15-19|~|~|~|~|Mortality|21102552|Colon and Rectum|2004
5-9|~|~|~|~|Mortality|19454237|Colon and Rectum|2004
<1|~|~|~|~|Mortality|4014258|Colon and Rectum|2004
1-4|~|~|~|~|Incidence|15108940|Colon and Rectum|2004
10-14|~|~|~|~|Incidence|20515088|Colon and Rectum|2004
15-19|0.2|0.3|0.3|51|Incidence|20195422|Colon and Rectum|2004
5-9|~|~|~|~|Incidence|18639099|Colon and Rectum|2004
<1|~|~|~|~|Incidence|3842951|Colon and Rectum|2004
1-4|~|~|~|~|Mortality|7713175|Corpus and Uterus, NOS|2004
10-14|~|~|~|~|Mortality|10443706|Corpus and Uterus, NOS|2004
15-19|~|~|~|~|Mortality|10242793|Corpus and Uterus, NOS|2004
5-9|~|~|~|~|Mortality|9503231|Corpus and Uterus, NOS|2004
<1|~|~|~|~|Mortality|1962216|Corpus and Uterus, NOS|2004
1-4|~|~|~|~|Incidence|7388346|Corpus and Uterus, NOS|2004
10-14|~|~|~|~|Incidence|10006800|Corpus and Uterus, NOS|2004
15-19|~|~|~|~|Incidence|9799213|Corpus and Uterus, NOS|2004
5-9|~|~|~|~|Incidence|9104487|Corpus and Uterus, NOS|2004
<1|~|~|~|~|Incidence|1878718|Corpus and Uterus, NOS|2004
1-4|~|~|~|~|Mortality|15771627|Esophagus|2004
10-14|~|~|~|~|Mortality|21411680|Esophagus|2004
15-19|~|~|~|~|Mortality|21102552|Esophagus|2004
5-9|~|~|~|~|Mortality|19454237|Esophagus|2004
<1|~|~|~|~|Mortality|4014258|Esophagus|2004
1-4|~|~|~|~|Incidence|15108940|Esophagus|2004
10-14|~|~|~|~|Incidence|20515088|Esophagus|2004
15-19|~|~|~|~|Incidence|20195422|Esophagus|2004
5-9|~|~|~|~|Incidence|18639099|Esophagus|2004
<1|~|~|~|~|Incidence|3842951|Esophagus|2004
1-4|~|~|~|~|Mortality|7713175|Female Breast|2004
10-14|~|~|~|~|Mortality|10443706|Female Breast|2004
15-19|~|~|~|~|Mortality|10242793|Female Breast|2004
5-9|~|~|~|~|Mortality|9503231|Female Breast|2004
<1|~|~|~|~|Mortality|1962216|Female Breast|2004
1-4|~|~|~|~|Incidence|7388346|Female Breast|2004
10-14|~|~|~|~|Incidence|10006800|Female Breast|2004
15-19|~|~|~|~|Incidence|9799213|Female Breast|2004
5-9|~|~|~|~|Incidence|9104487|Female Breast|2004
<1|~|~|~|~|Incidence|1878718|Female Breast|2004
1-4|~|~|~|~|Incidence|7388346|Female Breast, <i>in situ</i>|2004
10-14|~|~|~|~|Incidence|10006800|Female Breast, <i>in situ</i>|2004
15-19|~|~|~|~|Incidence|9799213|Female Breast, <i>in situ</i>|2004
5-9|~|~|~|~|Incidence|9104487|Female Breast, <i>in situ</i>|2004
<1|~|~|~|~|Incidence|1878718|Female Breast, <i>in situ</i>|2004
1-4|~|~|~|~|Mortality|15771627|Hodgkin Lymphoma|2004
10-14|~|~|~|~|Mortality|21411680|Hodgkin Lymphoma|2004
15-19|0.0|0.1|0.1|17|Mortality|21102552|Hodgkin Lymphoma|2004
5-9|~|~|~|~|Mortality|19454237|Hodgkin Lymphoma|2004
<1|~|~|~|~|Mortality|4014258|Hodgkin Lymphoma|2004
1-4|~|~|~|~|Incidence|15108940|Hodgkin Lymphoma|2004
10-14|1.0|1.3|1.1|230|Incidence|20515088|Hodgkin Lymphoma|2004
15-19|2.9|3.4|3.1|631|Incidence|20195422|Hodgkin Lymphoma|2004
5-9|0.3|0.5|0.4|66|Incidence|18639099|Hodgkin Lymphoma|2004
<1|~|~|~|~|Incidence|3842951|Hodgkin Lymphoma|2004
1-4|.|.|.|.|Mortality|15771627|Kaposi Sarcoma|2004
10-14|.|.|.|.|Mortality|21411680|Kaposi Sarcoma|2004
15-19|.|.|.|.|Mortality|21102552|Kaposi Sarcoma|2004
5-9|.|.|.|.|Mortality|19454237|Kaposi Sarcoma|2004
<1|.|.|.|.|Mortality|4014258|Kaposi Sarcoma|2004
1-4|~|~|~|~|Incidence|15108940|Kaposi Sarcoma|2004
10-14|~|~|~|~|Incidence|20515088|Kaposi Sarcoma|2004
15-19|~|~|~|~|Incidence|20195422|Kaposi Sarcoma|2004
5-9|~|~|~|~|Incidence|18639099|Kaposi Sarcoma|2004
<1|~|~|~|~|Incidence|3842951|Kaposi Sarcoma|2004
1-4|0.1|0.2|0.1|18|Mortality|15771627|Kidney and Renal Pelvis|2004
10-14|~|~|~|~|Mortality|21411680|Kidney and Renal Pelvis|2004
15-19|~|~|~|~|Mortality|21102552|Kidney and Renal Pelvis|2004
5-9|0.1|0.2|0.1|23|Mortality|19454237|Kidney and Renal Pelvis|2004
<1|~|~|~|~|Mortality|4014258|Kidney and Renal Pelvis|2004
1-4|1.8|2.3|2.0|308|Incidence|15108940|Kidney and Renal Pelvis|2004
10-14|0.1|0.2|0.2|36|Incidence|20515088|Kidney and Renal Pelvis|2004
15-19|0.1|0.3|0.2|41|Incidence|20195422|Kidney and Renal Pelvis|2004
5-9|0.4|0.6|0.5|87|Incidence|18639099|Kidney and Renal Pelvis|2004
<1|0.9|1.7|1.3|49|Incidence|3842951|Kidney and Renal Pelvis|2004
1-4|~|~|~|~|Mortality|15771627|Larynx|2004
10-14|~|~|~|~|Mortality|21411680|Larynx|2004
15-19|~|~|~|~|Mortality|21102552|Larynx|2004
5-9|~|~|~|~|Mortality|19454237|Larynx|2004
<1|~|~|~|~|Mortality|4014258|Larynx|2004
1-4|~|~|~|~|Incidence|15108940|Larynx|2004
10-14|~|~|~|~|Incidence|20515088|Larynx|2004
15-19|~|~|~|~|Incidence|20195422|Larynx|2004
5-9|~|~|~|~|Incidence|18639099|Larynx|2004
<1|~|~|~|~|Incidence|3842951|Larynx|2004
1-4|0.6|0.9|0.8|120|Mortality|15771627|Leukemias|2004
10-14|0.6|0.9|0.7|156|Mortality|21411680|Leukemias|2004
15-19|0.9|1.1|1.0|210|Mortality|21102552|Leukemias|2004
5-9|0.7|0.9|0.8|156|Mortality|19454237|Leukemias|2004
<1|0.4|0.9|0.6|23|Mortality|4014258|Leukemias|2004
1-4|8.7|9.7|9.2|1385|Incidence|15108940|Leukemias|2004
10-14|2.6|3.0|2.8|572|Incidence|20515088|Leukemias|2004
15-19|2.6|3.1|2.9|581|Incidence|20195422|Leukemias|2004
5-9|3.6|4.2|3.9|732|Incidence|18639099|Leukemias|2004
<1|3.8|5.2|4.4|171|Incidence|3842951|Leukemias|2004
1-4|0.1|0.2|0.1|22|Mortality|15771627|Liver and Intrahepatic Bile Duct|2004
10-14|~|~|~|~|Mortality|21411680|Liver and Intrahepatic Bile Duct|2004
15-19|0.0|0.1|0.1|16|Mortality|21102552|Liver and Intrahepatic Bile Duct|2004
5-9|~|~|~|~|Mortality|19454237|Liver and Intrahepatic Bile Duct|2004
<1|~|~|~|~|Mortality|4014258|Liver and Intrahepatic Bile Duct|2004
1-4|0.4|0.7|0.6|85|Incidence|15108940|Liver and Intrahepatic Bile Duct|2004
10-14|~|~|~|~|Incidence|20515088|Liver and Intrahepatic Bile Duct|2004
15-19|0.1|0.3|0.2|39|Incidence|20195422|Liver and Intrahepatic Bile Duct|2004
5-9|0.1|0.1|0.1|17|Incidence|18639099|Liver and Intrahepatic Bile Duct|2004
<1|1.1|1.9|1.4|55|Incidence|3842951|Liver and Intrahepatic Bile Duct|2004
1-4|~|~|~|~|Mortality|15771627|Lung and Bronchus|2004
10-14|~|~|~|~|Mortality|21411680|Lung and Bronchus|2004
15-19|~|~|~|~|Mortality|21102552|Lung and Bronchus|2004
5-9|~|~|~|~|Mortality|19454237|Lung and Bronchus|2004
<1|~|~|~|~|Mortality|4014258|Lung and Bronchus|2004
1-4|~|~|~|~|Incidence|15108940|Lung and Bronchus|2004
10-14|~|~|~|~|Incidence|20515088|Lung and Bronchus|2004
15-19|0.1|0.2|0.1|22|Incidence|20195422|Lung and Bronchus|2004
5-9|~|~|~|~|Incidence|18639099|Lung and Bronchus|2004
<1|~|~|~|~|Incidence|3842951|Lung and Bronchus|2004
1-4|~|~|~|~|Mortality|7713175|Male and Female Breast|2004
10-14|~|~|~|~|Mortality|10443706|Male and Female Breast|2004
15-19|~|~|~|~|Mortality|10242793|Male and Female Breast|2004
5-9|~|~|~|~|Mortality|9503231|Male and Female Breast|2004
<1|~|~|~|~|Mortality|1962216|Male and Female Breast|2004
1-4|~|~|~|~|Incidence|7388346|Male and Female Breast|2004
10-14|~|~|~|~|Incidence|10006800|Male and Female Breast|2004
15-19|~|~|~|~|Incidence|9799213|Male and Female Breast|2004
5-9|~|~|~|~|Incidence|9104487|Male and Female Breast|2004
<1|~|~|~|~|Incidence|1878718|Male and Female Breast|2004
1-4|~|~|~|~|Incidence|7388346|Male and Female Breast, <i>in situ</i>|2004
10-14|~|~|~|~|Incidence|10006800|Male and Female Breast, <i>in situ</i>|2004
15-19|~|~|~|~|Incidence|9799213|Male and Female Breast, <i>in situ</i>|2004
5-9|~|~|~|~|Incidence|9104487|Male and Female Breast, <i>in situ</i>|2004
<1|~|~|~|~|Incidence|1878718|Male and Female Breast, <i>in situ</i>|2004
1-4|~|~|~|~|Mortality|15771627|Melanomas of the Skin|2004
10-14|~|~|~|~|Mortality|21411680|Melanomas of the Skin|2004
15-19|~|~|~|~|Mortality|21102552|Melanomas of the Skin|2004
5-9|~|~|~|~|Mortality|19454237|Melanomas of the Skin|2004
<1|~|~|~|~|Mortality|4014258|Melanomas of the Skin|2004
1-4|0.1|0.2|0.1|19|Incidence|15108940|Melanomas of the Skin|2004
10-14|0.3|0.5|0.4|81|Incidence|20515088|Melanomas of the Skin|2004
15-19|1.6|2.0|1.8|363|Incidence|20195422|Melanomas of the Skin|2004
5-9|0.1|0.2|0.2|33|Incidence|18639099|Melanomas of the Skin|2004
<1|~|~|~|~|Incidence|3842951|Melanomas of the Skin|2004
1-4|~|~|~|~|Mortality|15771627|Mesothelioma|2004
10-14|~|~|~|~|Mortality|21411680|Mesothelioma|2004
15-19|~|~|~|~|Mortality|21102552|Mesothelioma|2004
5-9|~|~|~|~|Mortality|19454237|Mesothelioma|2004
<1|~|~|~|~|Mortality|4014258|Mesothelioma|2004
1-4|~|~|~|~|Incidence|15108940|Mesothelioma|2004
10-14|~|~|~|~|Incidence|20515088|Mesothelioma|2004
15-19|~|~|~|~|Incidence|20195422|Mesothelioma|2004
5-9|~|~|~|~|Incidence|18639099|Mesothelioma|2004
<1|~|~|~|~|Incidence|3842951|Mesothelioma|2004
1-4|~|~|~|~|Mortality|15771627|Myeloma|2004
10-14|~|~|~|~|Mortality|21411680|Myeloma|2004
15-19|~|~|~|~|Mortality|21102552|Myeloma|2004
