AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
0-14|0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|55895109|2001
0-19|0.4|0.7|0.5|38|VII(b) Hepatic carcinomas|74755914|2001
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|55895109|2001
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|74755914|2001
0-14|6.3|7.7|7.0|394|VIII Malignant bone tumors|55895109|2001
0-19|8.8|10.2|9.5|714|VIII Malignant bone tumors|74755914|2001
0-14|3.3|4.3|3.8|214|VIII(a) Osteosarcomas|55895109|2001
0-19|4.6|5.7|5.1|385|VIII(a) Osteosarcomas|74755914|2001
0-14|~|~|~|~|VIII(b) Chondrosarcomas|55895109|2001
0-19|0.2|0.5|0.3|26|VIII(b) Chondrosarcomas|74755914|2001
0-14|2.3|3.2|2.7|153|VIII(c) Ewing tumor and related sarcomas of bone|55895109|2001
0-19|3.1|3.9|3.5|260|VIII(c) Ewing tumor and related sarcomas of bone|74755914|2001
0-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|55895109|2001
0-19|0.3|0.6|0.4|32|VIII(d) Other specified malignant bone tumors|74755914|2001
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|55895109|2001
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|74755914|2001
0-14|4.5|5.7|5.1|287|X Germ cell, trophoblastic tumors & neoplasms of gonads|55895109|2001
0-19|9.8|11.2|10.5|788|X Germ cell, trophoblastic tumors & neoplasms of gonads|74755914|2001
0-14|1.0|1.6|1.3|73|X(a) Intracranial & intraspinal germ cell tumors|55895109|2001
0-19|1.3|1.9|1.6|121|X(a) Intracranial & intraspinal germ cell tumors|74755914|2001
0-14|1.1|1.8|1.4|80|X(b) Malignant extracranial & extragonadal germ cell tumors|55895109|2001
0-19|1.3|1.9|1.6|121|X(b) Malignant extracranial & extragonadal germ cell tumors|74755914|2001
0-14|1.7|2.5|2.1|116|X(c) Malignant gonadal germ cell tumors|55895109|2001
0-19|6.1|7.2|6.6|498|X(c) Malignant gonadal germ cell tumors|74755914|2001
0-14|~|~|~|~|X(d) Gonadal carcinomas|55895109|2001
0-19|0.2|0.5|0.3|25|X(d) Gonadal carcinomas|74755914|2001
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|55895109|2001
0-19|0.2|0.5|0.3|23|X(e) Other and unspecified malignant gonadal tumors|74755914|2001
0-14|6.1|7.5|6.8|384|XI Other malignant epithelial neoplasms and malignant melanomas|55895109|2001
0-19|15.7|17.6|16.6|1250|XI Other malignant epithelial neoplasms and malignant melanomas|74755914|2001
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|55895109|2001
0-19|0.1|0.3|0.2|16|XI(a) Adrenocortical carcinomas|74755914|2001
0-14|1.9|2.8|2.3|132|XI(b) Thyroid carcinomas|55895109|2001
0-19|5.3|6.4|5.8|438|XI(b) Thyroid carcinomas|74755914|2001
0-14|0.2|0.5|0.3|18|XI(c) Nasopharyngeal carcinomas|55895109|2001
0-19|0.4|0.8|0.6|43|XI(c) Nasopharyngeal carcinomas|74755914|2001
0-14|1.7|2.5|2.1|118|XI(d) Malignant melanomas|55895109|2001
0-19|5.3|6.4|5.9|441|XI(d) Malignant melanomas|74755914|2001
0-14|~|~|~|~|XI(e) Skin carcinomas|55895109|2001
0-19|~|~|~|~|XI(e) Skin carcinomas|74755914|2001
0-14|1.4|2.1|1.7|98|XI(f) Other and unspecified carcinomas|55895109|2001
0-19|3.6|4.6|4.1|307|XI(f) Other and unspecified carcinomas|74755914|2001
0-14|0.5|1.0|0.7|40|XII Other and unspecified malignant neoplasms|55895109|2001
0-19|0.7|1.1|0.9|66|XII Other and unspecified malignant neoplasms|74755914|2001
0-14|0.2|0.6|0.4|21|XII(a) Other specified malignant tumors|55895109|2001
0-19|0.3|0.6|0.4|29|XII(a) Other specified malignant tumors|74755914|2001
0-14|0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|55895109|2001
0-19|0.3|0.7|0.5|37|XII(b) Other unspecified malignant tumors|74755914|2001
0-14|152.6|159.2|155.8|8658|All ICCC Groups Combined|55565102|2002
0-19|168.3|174.3|171.3|12757|All ICCC Groups Combined|74436080|2002
0-14|48.0|51.8|49.9|2759|I Leukemias, myeloproliferative & myelodysplastic diseases|55565102|2002
0-19|43.7|46.7|45.2|3349|I Leukemias, myeloproliferative & myelodysplastic diseases|74436080|2002
0-14|35.9|39.2|37.5|2070|I(a) Lymphoid leukemias|55565102|2002
0-19|30.9|33.5|32.2|2382|I(a) Lymphoid leukemias|74436080|2002
0-14|7.2|8.6|7.9|439|I(b) Acute myeloid leukemias|55565102|2002
0-19|7.6|8.9|8.2|611|I(b) Acute myeloid leukemias|74436080|2002
0-14|1.3|2.0|1.6|89|I(c) Chronic myeloproliferative diseases|55565102|2002
0-19|1.8|2.4|2.1|156|I(c) Chronic myeloproliferative diseases|74436080|2002
0-14|1.3|2.0|1.7|92|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|55565102|2002
0-19|1.3|1.9|1.5|115|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|74436080|2002
0-14|1.0|1.6|1.2|69|I(e) Unspecified and other specified leukemias|55565102|2002
0-19|0.9|1.4|1.1|85|I(e) Unspecified and other specified leukemias|74436080|2002
0-14|14.7|16.8|15.8|883|II Lymphomas and reticuloendothelial neoplasms|55565102|2002
0-19|23.4|25.6|24.5|1834|II Lymphomas and reticuloendothelial neoplasms|74436080|2002
0-14|4.8|6.1|5.4|306|II(a) Hodgkin lymphomas|55565102|2002
0-19|11.4|13.0|12.2|919|II(a) Hodgkin lymphomas|74436080|2002
0-14|5.6|6.9|6.2|347|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|55565102|2002
0-19|7.7|9.0|8.3|621|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|74436080|2002
0-14|2.3|3.2|2.8|153|II(c) Burkitt lymphoma|55565102|2002
0-19|2.4|3.1|2.7|202|II(c) Burkitt lymphoma|74436080|2002
0-14|0.9|1.5|1.2|65|II(d) Miscellaneous lymphoreticular neoplasms|55565102|2002
0-19|0.7|1.1|0.9|66|II(d) Miscellaneous lymphoreticular neoplasms|74436080|2002
0-14|~|~|~|~|II(e) Unspecified lymphomas|55565102|2002
0-19|0.2|0.5|0.3|26|II(e) Unspecified lymphomas|74436080|2002
0-14|32.9|36.0|34.4|1907|III CNS and misc intracranial and intraspinal neoplasms|55565102|2002
0-19|30.1|32.6|31.3|2323|III CNS and misc intracranial and intraspinal neoplasms|74436080|2002
0-14|3.2|4.2|3.7|205|III(a) Ependymomas and choroid plexus tumor|55565102|2002
0-19|2.6|3.5|3.0|225|III(a) Ependymomas and choroid plexus tumor|74436080|2002
0-14|15.2|17.4|16.3|902|III(b) Astrocytomas|55565102|2002
0-19|14.4|16.2|15.2|1131|III(b) Astrocytomas|74436080|2002
0-14|6.7|8.2|7.4|409|III(c) Intracranial and intraspinal embryonal tumors|55565102|2002
0-19|5.8|7.0|6.4|472|III(c) Intracranial and intraspinal embryonal tumors|74436080|2002
0-14|5.3|6.6|5.9|327|III(d) Other gliomas|55565102|2002
0-19|5.0|6.1|5.5|410|III(d) Other gliomas|74436080|2002
0-14|0.5|1.0|0.7|41|III(e) Other specified intracranial & intraspinal neoplasms|55565102|2002
0-19|0.6|1.0|0.7|55|III(e) Other specified intracranial & intraspinal neoplasms|74436080|2002
0-14|0.3|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|55565102|2002
0-19|0.3|0.6|0.4|30|III(f) Unspecified intracranial and intraspinal neoplasms|74436080|2002
0-14|10.2|11.9|11.0|612|IV Neuroblastoma and other peripheral nervous cell tumors|55565102|2002
0-19|7.8|9.1|8.5|627|IV Neuroblastoma and other peripheral nervous cell tumors|74436080|2002
0-14|10.1|11.8|10.9|605|IV(a) Neuroblastoma and ganglioneuroblastoma|55565102|2002
0-19|7.6|8.9|8.2|610|IV(a) Neuroblastoma and ganglioneuroblastoma|74436080|2002
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|55565102|2002
0-19|0.1|0.4|0.2|17|IV(b) Other peripheral nervous cell tumors|74436080|2002
0-14|10.1|11.9|11.0|611|IX Soft tissue and other extraosseous sarcomas|55565102|2002
0-19|11.1|12.6|11.8|882|IX Soft tissue and other extraosseous sarcomas|74436080|2002
0-14|4.8|6.1|5.4|301|IX(a) Rhabdomyosarcomas|55565102|2002
0-19|4.4|5.4|4.9|364|IX(a) Rhabdomyosarcomas|74436080|2002
0-14|1.0|1.6|1.2|69|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|55565102|2002
0-19|1.0|1.5|1.2|92|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|74436080|2002
0-14|~|~|~|~|IX(c) Kaposi sarcoma|55565102|2002
0-19|~|~|~|~|IX(c) Kaposi sarcoma|74436080|2002
0-14|2.9|3.9|3.3|188|IX(d) Other specified soft tissue sarcomas|55565102|2002
0-19|4.2|5.2|4.7|352|IX(d) Other specified soft tissue sarcomas|74436080|2002
0-14|0.7|1.2|0.9|53|IX(e) Unspecified soft tissue sarcomas|55565102|2002
0-19|0.8|1.2|1.0|74|IX(e) Unspecified soft tissue sarcomas|74436080|2002
0-14|0.2|0.6|0.4|20|Not classified by ICCC|55565102|2002
0-19|0.2|0.5|0.3|25|Not classified by ICCC|74436080|2002
0-14|3.3|4.3|3.7|208|V Retinoblastoma|55565102|2002
0-19|2.4|3.2|2.8|208|V Retinoblastoma|74436080|2002
0-14|7.4|9.0|8.2|451|VI Renal tumors|55565102|2002
0-19|5.9|7.0|6.4|475|VI Renal tumors|74436080|2002
0-14|7.2|8.7|7.9|438|VI(a) Nephroblastoma and other nonepithelial renal tumors|55565102|2002
0-19|5.4|6.6|6.0|441|VI(a) Nephroblastoma and other nonepithelial renal tumors|74436080|2002
0-14|~|~|~|~|VI(b) Renal carcinomas|55565102|2002
0-19|0.3|0.6|0.4|33|VI(b) Renal carcinomas|74436080|2002
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|55565102|2002
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|74436080|2002
0-14|1.5|2.3|1.9|104|VII Hepatic tumors|55565102|2002
0-19|1.4|2.0|1.7|123|VII Hepatic tumors|74436080|2002
0-14|1.2|1.9|1.5|84|VII(a) Hepatoblastoma|55565102|2002
0-19|0.9|1.4|1.1|85|VII(a) Hepatoblastoma|74436080|2002
0-14|0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|55565102|2002
0-19|0.3|0.7|0.5|37|VII(b) Hepatic carcinomas|74436080|2002
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|55565102|2002
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|74436080|2002
0-14|6.3|7.7|7.0|392|VIII Malignant bone tumors|55565102|2002
0-19|8.6|9.9|9.2|693|VIII Malignant bone tumors|74436080|2002
0-14|3.3|4.3|3.7|211|VIII(a) Osteosarcomas|55565102|2002
0-19|4.5|5.5|4.9|372|VIII(a) Osteosarcomas|74436080|2002
0-14|~|~|~|~|VIII(b) Chondrosarcomas|55565102|2002
0-19|0.3|0.7|0.5|37|VIII(b) Chondrosarcomas|74436080|2002
0-14|2.2|3.1|2.6|145|VIII(c) Ewing tumor and related sarcomas of bone|55565102|2002
0-19|2.7|3.5|3.1|231|VIII(c) Ewing tumor and related sarcomas of bone|74436080|2002
0-14|0.2|0.6|0.4|20|VIII(d) Other specified malignant bone tumors|55565102|2002
0-19|0.4|0.7|0.5|41|VIII(d) Other specified malignant bone tumors|74436080|2002
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|55565102|2002
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|74436080|2002
0-14|4.8|6.0|5.4|303|X Germ cell, trophoblastic tumors & neoplasms of gonads|55565102|2002
0-19|10.5|12.0|11.2|841|X Germ cell, trophoblastic tumors & neoplasms of gonads|74436080|2002
0-14|1.2|1.8|1.5|83|X(a) Intracranial & intraspinal germ cell tumors|55565102|2002
0-19|1.4|2.0|1.7|126|X(a) Intracranial & intraspinal germ cell tumors|74436080|2002
0-14|1.2|1.9|1.5|85|X(b) Malignant extracranial & extragonadal germ cell tumors|55565102|2002
0-19|1.3|1.9|1.6|120|X(b) Malignant extracranial & extragonadal germ cell tumors|74436080|2002
0-14|1.9|2.7|2.2|125|X(c) Malignant gonadal germ cell tumors|55565102|2002
0-19|6.7|7.9|7.3|547|X(c) Malignant gonadal germ cell tumors|74436080|2002
0-14|~|~|~|~|X(d) Gonadal carcinomas|55565102|2002
0-19|0.2|0.5|0.3|24|X(d) Gonadal carcinomas|74436080|2002
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|55565102|2002
0-19|0.2|0.5|0.3|24|X(e) Other and unspecified malignant gonadal tumors|74436080|2002
0-14|5.9|7.3|6.6|372|XI Other malignant epithelial neoplasms and malignant melanomas|55565102|2002
0-19|16.5|18.4|17.4|1307|XI Other malignant epithelial neoplasms and malignant melanomas|74436080|2002
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|55565102|2002
0-19|0.2|0.4|0.3|19|XI(a) Adrenocortical carcinomas|74436080|2002
0-14|1.6|2.4|2.0|112|XI(b) Thyroid carcinomas|55565102|2002
0-19|5.1|6.2|5.7|425|XI(b) Thyroid carcinomas|74436080|2002
0-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|55565102|2002
0-19|0.5|0.8|0.6|47|XI(c) Nasopharyngeal carcinomas|74436080|2002
0-14|2.0|2.8|2.4|134|XI(d) Malignant melanomas|55565102|2002
0-19|6.1|7.3|6.7|504|XI(d) Malignant melanomas|74436080|2002
0-14|~|~|~|~|XI(e) Skin carcinomas|55565102|2002
0-19|~|~|~|~|XI(e) Skin carcinomas|74436080|2002
0-14|1.3|2.0|1.6|93|XI(f) Other and unspecified carcinomas|55565102|2002
0-19|3.6|4.5|4.0|304|XI(f) Other and unspecified carcinomas|74436080|2002
0-14|0.5|0.9|0.6|36|XII Other and unspecified malignant neoplasms|55565102|2002
0-19|0.7|1.2|0.9|70|XII Other and unspecified malignant neoplasms|74436080|2002
0-14|0.2|0.6|0.4|20|XII(a) Other specified malignant tumors|55565102|2002
0-19|0.3|0.7|0.5|35|XII(a) Other specified malignant tumors|74436080|2002
0-14|0.2|0.5|0.3|16|XII(b) Other unspecified malignant tumors|55565102|2002
0-19|0.3|0.6|0.5|35|XII(b) Other unspecified malignant tumors|74436080|2002
0-14|149.3|155.7|152.5|8697|All ICCC Groups Combined|56909320|2003
0-19|164.6|170.4|167.5|12835|All ICCC Groups Combined|76413922|2003
0-14|45.9|49.5|47.7|2706|I Leukemias, myeloproliferative & myelodysplastic diseases|56909320|2003
0-19|42.0|44.9|43.4|3305|I Leukemias, myeloproliferative & myelodysplastic diseases|76413922|2003
0-14|34.6|37.7|36.1|2044|I(a) Lymphoid leukemias|56909320|2003
0-19|29.7|32.2|30.9|2343|I(a) Lymphoid leukemias|76413922|2003
0-14|6.8|8.3|7.5|430|I(b) Acute myeloid leukemias|56909320|2003
0-19|7.2|8.4|7.8|596|I(b) Acute myeloid leukemias|76413922|2003
0-14|1.1|1.8|1.4|82|I(c) Chronic myeloproliferative diseases|56909320|2003
0-19|1.9|2.6|2.2|171|I(c) Chronic myeloproliferative diseases|76413922|2003
0-14|1.4|2.1|1.7|97|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|56909320|2003
0-19|1.3|1.9|1.6|121|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|76413922|2003
0-14|0.7|1.2|0.9|53|I(e) Unspecified and other specified leukemias|56909320|2003
0-19|0.8|1.2|1.0|74|I(e) Unspecified and other specified leukemias|76413922|2003
0-14|14.8|16.9|15.8|904|II Lymphomas and reticuloendothelial neoplasms|56909320|2003
0-19|22.7|24.9|23.8|1831|II Lymphomas and reticuloendothelial neoplasms|76413922|2003
0-14|5.0|6.3|5.6|326|II(a) Hodgkin lymphomas|56909320|2003
0-19|11.3|12.8|12.1|933|II(a) Hodgkin lymphomas|76413922|2003
0-14|5.7|7.0|6.3|359|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|56909320|2003
0-19|7.4|8.7|8.0|618|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|76413922|2003
0-14|2.2|3.1|2.6|148|II(c) Burkitt lymphoma|56909320|2003
0-19|2.2|3.0|2.6|195|II(c) Burkitt lymphoma|76413922|2003
0-14|0.9|1.4|1.1|64|II(d) Miscellaneous lymphoreticular neoplasms|56909320|2003
0-19|0.7|1.1|0.9|68|II(d) Miscellaneous lymphoreticular neoplasms|76413922|2003
0-14|~|~|~|~|II(e) Unspecified lymphomas|56909320|2003
0-19|0.1|0.4|0.2|17|II(e) Unspecified lymphomas|76413922|2003
0-14|31.7|34.7|33.2|1883|III CNS and misc intracranial and intraspinal neoplasms|56909320|2003
0-19|29.1|31.6|30.3|2310|III CNS and misc intracranial and intraspinal neoplasms|76413922|2003
0-14|2.1|2.9|2.5|142|III(a) Ependymomas and choroid plexus tumor|56909320|2003
0-19|2.0|2.7|2.3|179|III(a) Ependymomas and choroid plexus tumor|76413922|2003
0-14|15.4|17.5|16.4|935|III(b) Astrocytomas|56909320|2003
0-19|14.5|16.2|15.3|1169|III(b) Astrocytomas|76413922|2003
0-14|6.6|8.1|7.3|414|III(c) Intracranial and intraspinal embryonal tumors|56909320|2003
0-19|5.7|6.8|6.2|472|III(c) Intracranial and intraspinal embryonal tumors|76413922|2003
0-14|5.1|6.4|5.7|325|III(d) Other gliomas|56909320|2003
0-19|4.8|5.8|5.3|402|III(d) Other gliomas|76413922|2003
0-14|0.6|1.1|0.8|48|III(e) Other specified intracranial & intraspinal neoplasms|56909320|2003
0-19|0.6|1.0|0.8|60|III(e) Other specified intracranial & intraspinal neoplasms|76413922|2003
0-14|0.2|0.5|0.3|19|III(f) Unspecified intracranial and intraspinal neoplasms|56909320|2003
0-19|0.2|0.5|0.4|28|III(f) Unspecified intracranial and intraspinal neoplasms|76413922|2003
0-14|9.8|11.5|10.6|607|IV Neuroblastoma and other peripheral nervous cell tumors|56909320|2003
0-19|7.5|8.8|8.1|622|IV Neuroblastoma and other peripheral nervous cell tumors|76413922|2003
0-14|9.6|11.3|10.5|598|IV(a) Neuroblastoma and ganglioneuroblastoma|56909320|2003
0-19|7.3|8.6|8.0|609|IV(a) Neuroblastoma and ganglioneuroblastoma|76413922|2003
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|56909320|2003
0-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|76413922|2003
0-14|9.7|11.4|10.5|601|IX Soft tissue and other extraosseous sarcomas|56909320|2003
0-19|11.3|12.9|12.1|931|IX Soft tissue and other extraosseous sarcomas|76413922|2003
0-14|4.4|5.6|5.0|284|IX(a) Rhabdomyosarcomas|56909320|2003
0-19|4.3|5.3|4.8|365|IX(a) Rhabdomyosarcomas|76413922|2003
0-14|0.8|1.3|1.0|58|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|56909320|2003
0-19|1.2|1.7|1.4|110|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|76413922|2003
0-14|~|~|~|~|IX(c) Kaposi sarcoma|56909320|2003
0-19|~|~|~|~|IX(c) Kaposi sarcoma|76413922|2003
0-14|3.0|4.0|3.5|200|IX(d) Other specified soft tissue sarcomas|56909320|2003
0-19|4.2|5.1|4.6|357|IX(d) Other specified soft tissue sarcomas|76413922|2003
0-14|0.7|1.3|1.0|57|IX(e) Unspecified soft tissue sarcomas|56909320|2003
0-19|1.0|1.5|1.2|96|IX(e) Unspecified soft tissue sarcomas|76413922|2003
0-14|0.2|0.5|0.3|16|Not classified by ICCC|56909320|2003
0-19|0.2|0.4|0.3|22|Not classified by ICCC|76413922|2003
0-14|3.6|4.7|4.1|236|V Retinoblastoma|56909320|2003
0-19|2.7|3.5|3.1|237|V Retinoblastoma|76413922|2003
0-14|7.9|9.4|8.6|488|VI Renal tumors|56909320|2003
0-19|6.2|7.4|6.8|513|VI Renal tumors|76413922|2003
0-14|7.5|9.0|8.2|464|VI(a) Nephroblastoma and other nonepithelial renal tumors|56909320|2003
0-19|5.6|6.7|6.2|466|VI(a) Nephroblastoma and other nonepithelial renal tumors|76413922|2003
0-14|0.2|0.5|0.3|20|VI(b) Renal carcinomas|56909320|2003
0-19|0.4|0.8|0.6|43|VI(b) Renal carcinomas|76413922|2003
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|56909320|2003
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|76413922|2003
0-14|2.1|3.0|2.5|146|VII Hepatic tumors|56909320|2003
0-19|1.8|2.5|2.1|165|VII Hepatic tumors|76413922|2003
0-14|1.7|2.5|2.1|119|VII(a) Hepatoblastoma|56909320|2003
0-19|1.3|1.9|1.6|119|VII(a) Hepatoblastoma|76413922|2003
0-14|0.3|0.7|0.5|27|VII(b) Hepatic carcinomas|56909320|2003
0-19|0.4|0.8|0.6|46|VII(b) Hepatic carcinomas|76413922|2003
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|56909320|2003
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|76413922|2003
0-14|6.2|7.6|6.9|397|VIII Malignant bone tumors|56909320|2003
0-19|8.0|9.4|8.7|672|VIII Malignant bone tumors|76413922|2003
0-14|3.3|4.3|3.8|220|VIII(a) Osteosarcomas|56909320|2003
0-19|4.7|5.8|5.2|405|VIII(a) Osteosarcomas|76413922|2003
0-14|~|~|~|~|VIII(b) Chondrosarcomas|56909320|2003
0-19|0.1|0.4|0.2|19|VIII(b) Chondrosarcomas|76413922|2003
0-14|1.9|2.7|2.3|133|VIII(c) Ewing tumor and related sarcomas of bone|56909320|2003
0-19|2.3|3.0|2.6|204|VIII(c) Ewing tumor and related sarcomas of bone|76413922|2003
0-14|0.2|0.5|0.3|17|VIII(d) Other specified malignant bone tumors|56909320|2003
0-19|0.2|0.5|0.3|27|VIII(d) Other specified malignant bone tumors|76413922|2003
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|56909320|2003
0-19|0.1|0.4|0.2|17|VIII(e) Unspecified malignant bone tumors|76413922|2003
0-14|4.6|5.7|5.1|297|X Germ cell, trophoblastic tumors & neoplasms of gonads|56909320|2003
0-19|9.7|11.1|10.4|806|X Germ cell, trophoblastic tumors & neoplasms of gonads|76413922|2003
0-14|0.9|1.5|1.2|70|X(a) Intracranial & intraspinal germ cell tumors|56909320|2003
0-19|1.2|1.7|1.4|109|X(a) Intracranial & intraspinal germ cell tumors|76413922|2003
0-14|1.1|1.8|1.4|83|X(b) Malignant extracranial & extragonadal germ cell tumors|56909320|2003
0-19|1.2|1.7|1.5|112|X(b) Malignant extracranial & extragonadal germ cell tumors|76413922|2003
0-14|1.9|2.6|2.2|129|X(c) Malignant gonadal germ cell tumors|56909320|2003
0-19|6.2|7.4|6.8|527|X(c) Malignant gonadal germ cell tumors|76413922|2003
0-14|~|~|~|~|X(d) Gonadal carcinomas|56909320|2003
0-19|0.3|0.6|0.4|30|X(d) Gonadal carcinomas|76413922|2003
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|56909320|2003
0-19|0.2|0.5|0.4|28|X(e) Other and unspecified malignant gonadal tumors|76413922|2003
0-14|5.8|7.1|6.4|372|XI Other malignant epithelial neoplasms and malignant melanomas|56909320|2003
0-19|16.3|18.2|17.3|1339|XI Other malignant epithelial neoplasms and malignant melanomas|76413922|2003
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|56909320|2003
0-19|0.1|0.4|0.2|18|XI(a) Adrenocortical carcinomas|76413922|2003
0-14|1.8|2.6|2.2|126|XI(b) Thyroid carcinomas|56909320|2003
0-19|5.5|6.6|6.0|469|XI(b) Thyroid carcinomas|76413922|2003
0-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|56909320|2003
0-19|0.5|0.9|0.7|53|XI(c) Nasopharyngeal carcinomas|76413922|2003
0-14|1.6|2.4|2.0|115|XI(d) Malignant melanomas|56909320|2003
0-19|5.4|6.5|5.9|460|XI(d) Malignant melanomas|76413922|2003
0-14|~|~|~|~|XI(e) Skin carcinomas|56909320|2003
0-19|~|~|~|~|XI(e) Skin carcinomas|76413922|2003
0-14|1.5|2.2|1.8|104|XI(f) Other and unspecified carcinomas|56909320|2003
0-19|3.8|4.8|4.3|331|XI(f) Other and unspecified carcinomas|76413922|2003
0-14|0.6|1.0|0.8|44|XII Other and unspecified malignant neoplasms|56909320|2003
0-19|0.8|1.3|1.1|82|XII Other and unspecified malignant neoplasms|76413922|2003
0-14|0.2|0.5|0.3|19|XII(a) Other specified malignant tumors|56909320|2003
0-19|0.3|0.7|0.5|37|XII(a) Other specified malignant tumors|76413922|2003
0-14|0.3|0.6|0.4|25|XII(b) Other unspecified malignant tumors|56909320|2003
0-19|0.4|0.8|0.6|45|XII(b) Other unspecified malignant tumors|76413922|2003
0-14|155.6|162.1|158.9|9270|All ICCC Groups Combined|58106078|2004
0-19|170.1|175.9|173.0|13611|All ICCC Groups Combined|78301500|2004
0-14|49.1|52.8|50.9|2957|I Leukemias, myeloproliferative & myelodysplastic diseases|58106078|2004
0-19|44.5|47.5|46.0|3589|I Leukemias, myeloproliferative & myelodysplastic diseases|78301500|2004
0-14|37.0|40.2|38.6|2236|I(a) Lymphoid leukemias|58106078|2004
0-19|31.8|34.4|33.1|2573|I(a) Lymphoid leukemias|78301500|2004
0-14|7.3|8.8|8.0|468|I(b) Acute myeloid leukemias|58106078|2004
0-19|7.7|9.0|8.3|653|I(b) Acute myeloid leukemias|78301500|2004
0-14|1.2|1.8|1.5|88|I(c) Chronic myeloproliferative diseases|58106078|2004
0-19|1.7|2.4|2.0|162|I(c) Chronic myeloproliferative diseases|78301500|2004
0-14|1.2|1.8|1.5|85|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58106078|2004
0-19|1.1|1.6|1.3|104|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|78301500|2004
0-14|1.1|1.7|1.4|80|I(e) Unspecified and other specified leukemias|58106078|2004
0-19|1.0|1.5|1.2|97|I(e) Unspecified and other specified leukemias|78301500|2004
0-14|15.1|17.1|16.1|941|II Lymphomas and reticuloendothelial neoplasms|58106078|2004
0-19|22.9|25.1|24.0|1903|II Lymphomas and reticuloendothelial neoplasms|78301500|2004
0-14|4.7|5.9|5.2|310|II(a) Hodgkin lymphomas|58106078|2004
0-19|11.0|12.6|11.8|941|II(a) Hodgkin lymphomas|78301500|2004
0-14|6.2|7.5|6.8|399|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58106078|2004
0-19|7.8|9.1|8.4|666|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|78301500|2004
0-14|2.1|2.9|2.4|141|II(c) Burkitt lymphoma|58106078|2004
0-19|2.0|2.7|2.4|185|II(c) Burkitt lymphoma|78301500|2004
0-14|1.1|1.7|1.3|79|II(d) Miscellaneous lymphoreticular neoplasms|58106078|2004
0-19|0.9|1.3|1.1|85|II(d) Miscellaneous lymphoreticular neoplasms|78301500|2004
0-14|~|~|~|~|II(e) Unspecified lymphomas|58106078|2004
0-19|0.2|0.5|0.3|26|II(e) Unspecified lymphomas|78301500|2004
0-14|33.4|36.5|35.0|2025|III CNS and misc intracranial and intraspinal neoplasms|58106078|2004
0-19|30.7|33.3|32.0|2493|III CNS and misc intracranial and intraspinal neoplasms|78301500|2004
