AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.8|1.0|0.9|536|Incidence|57966135|Non-Hodgkin Lymphoma|2006
0-19|1.1|1.2|1.1|902|Incidence|78847112|Non-Hodgkin Lymphoma|2006
0-14|0.4|0.5|0.5|296|Mortality|60516709|Other|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-14|3.1|3.4|3.3|1932|Incidence|57966135|Other|2006
0-19|4.4|4.7|4.5|3646|Incidence|78847112|Other|2006
0-14|0.1|0.2|0.1|80|Mortality|60516709|Soft Tissue|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-14|0.9|1.0|1.0|560|Incidence|57966135|Soft Tissue|2006
0-19|0.9|1.0|1.0|777|Incidence|78847112|Soft Tissue|2006
0-14|0.3|0.3|0.3|900|Mortality|304398736|Acute Lymphocytic|2006-2010
0-19|0.3|0.3|0.3|1283|Mortality|414658092|Acute Lymphocytic|2006-2010
0-14|3.9|4.1|4.0|11598|Incidence|288616149|Acute Lymphocytic|2006-2010
0-19|3.3|3.5|3.4|13288|Incidence|393229003|Acute Lymphocytic|2006-2010
0-14|0.2|0.2|0.2|630|Mortality|304398736|Acute Myeloid|2006-2010
0-19|0.2|0.2|0.2|953|Mortality|414658092|Acute Myeloid|2006-2010
0-14|0.6|0.7|0.7|1967|Incidence|288616149|Acute Myeloid|2006-2010
0-19|0.7|0.7|0.7|2827|Incidence|393229003|Acute Myeloid|2006-2010
0-14|2.2|2.3|2.2|6753|Mortality|304398736|All Cancer Sites Combined|2006-2010
0-19|2.4|2.5|2.4|10031|Mortality|414658092|All Cancer Sites Combined|2006-2010
0-14|16.0|16.3|16.1|46794|Incidence|288616149|All Cancer Sites Combined|2006-2010
0-19|17.3|17.6|17.5|69274|Incidence|393229003|All Cancer Sites Combined|2006-2010
0-14|0.1|0.1|0.1|334|Mortality|304398736|Bones and Joints|2006-2010
0-19|0.2|0.2|0.2|873|Mortality|414658092|Bones and Joints|2006-2010
0-14|0.7|0.7|0.7|2012|Incidence|288616149|Bones and Joints|2006-2010
0-19|0.9|0.9|0.9|3532|Incidence|393229003|Bones and Joints|2006-2010
0-14|0.7|0.7|0.7|2089|Mortality|304398736|Brain and Other Nervous System|2006-2010
0-19|0.6|0.7|0.6|2598|Mortality|414658092|Brain and Other Nervous System|2006-2010
0-14|3.4|3.6|3.5|10107|Incidence|288616149|Brain and Other Nervous System|2006-2010
0-19|3.1|3.2|3.2|12403|Incidence|393229003|Brain and Other Nervous System|2006-2010
0-14|0.0|0.0|0.0|19|Mortality|304398736|Hodgkin Lymphoma|2006-2010
0-19|0.0|0.0|0.0|90|Mortality|414658092|Hodgkin Lymphoma|2006-2010
0-14|0.5|0.6|0.6|1656|Incidence|288616149|Hodgkin Lymphoma|2006-2010
0-19|1.2|1.3|1.2|4988|Incidence|393229003|Hodgkin Lymphoma|2006-2010
0-14|0.1|0.1|0.1|209|Mortality|304398736|Kidney and Renal Pelvis|2006-2010
0-19|0.1|0.1|0.1|254|Mortality|414658092|Kidney and Renal Pelvis|2006-2010
0-14|0.9|0.9|0.9|2601|Incidence|288616149|Kidney and Renal Pelvis|2006-2010
0-19|0.7|0.7|0.7|2810|Incidence|393229003|Kidney and Renal Pelvis|2006-2010
0-14|0.6|0.7|0.7|2033|Mortality|304398736|Leukemia|2006-2010
0-19|0.7|0.7|0.7|2973|Mortality|414658092|Leukemia|2006-2010
0-14|5.0|5.1|5.0|14622|Incidence|288616149|Leukemia|2006-2010
0-19|4.4|4.6|4.5|17657|Incidence|393229003|Leukemia|2006-2010
0-14|0.1|0.1|0.1|196|Mortality|304398736|Non-Hodgkin Lymphoma|2006-2010
0-19|0.1|0.1|0.1|419|Mortality|414658092|Non-Hodgkin Lymphoma|2006-2010
0-14|0.9|1.0|1.0|2749|Incidence|288616149|Non-Hodgkin Lymphoma|2006-2010
0-19|1.1|1.2|1.1|4522|Incidence|393229003|Non-Hodgkin Lymphoma|2006-2010
0-14|0.4|0.5|0.5|1445|Mortality|304398736|Other|2006-2010
0-19|0.5|0.5|0.5|2074|Mortality|414658092|Other|2006-2010
0-14|3.4|3.5|3.4|10072|Incidence|288616149|Other|2006-2010
0-19|4.7|4.8|4.8|19208|Incidence|393229003|Other|2006-2010
0-14|0.1|0.2|0.1|428|Mortality|304398736|Soft Tissue|2006-2010
0-19|0.2|0.2|0.2|750|Mortality|414658092|Soft Tissue|2006-2010
0-14|1.0|1.1|1.0|2975|Incidence|288616149|Soft Tissue|2006-2010
0-19|1.0|1.1|1.0|4154|Incidence|393229003|Soft Tissue|2006-2010
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-14|3.8|4.1|4.0|2375|Incidence|59628198|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2743|Incidence|81315506|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-14|0.6|0.7|0.7|403|Incidence|59628198|Acute Myeloid|2007
0-19|0.6|0.8|0.7|571|Incidence|81315506|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-14|15.7|16.4|16.0|9632|Incidence|59628198|All Cancer Sites Combined|2007
0-19|17.2|17.8|17.5|14342|Incidence|81315506|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|418|Incidence|59628198|Bones and Joints|2007
0-19|0.8|1.0|0.9|730|Incidence|81315506|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-14|3.4|3.7|3.6|2131|Incidence|59628198|Brain and Other Nervous System|2007
0-19|3.1|3.4|3.2|2613|Incidence|81315506|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-14|0.5|0.6|0.5|323|Incidence|59628198|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1010|Incidence|81315506|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-14|0.8|1.0|0.9|529|Incidence|59628198|Kidney and Renal Pelvis|2007
0-19|0.6|0.8|0.7|572|Incidence|81315506|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-14|4.8|5.2|5.0|3003|Incidence|59628198|Leukemia|2007
0-19|4.3|4.6|4.5|3644|Incidence|81315506|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.9|1.1|1.0|579|Incidence|59628198|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.2|1.2|947|Incidence|81315506|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-14|3.2|3.5|3.3|2020|Incidence|59628198|Other|2007
0-19|4.6|4.9|4.7|3938|Incidence|81315506|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-14|1.0|1.1|1.0|629|Incidence|59628198|Soft Tissue|2007
0-19|1.0|1.2|1.1|888|Incidence|81315506|Soft Tissue|2007
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-14|3.9|4.2|4.0|2438|Incidence|59850043|Acute Lymphocytic|2008
0-19|3.3|3.6|3.4|2799|Incidence|81683260|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-14|0.6|0.8|0.7|429|Incidence|59850043|Acute Myeloid|2008
0-19|0.7|0.8|0.7|611|Incidence|81683260|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-14|15.9|16.5|16.2|9774|Incidence|59850043|All Cancer Sites Combined|2008
0-19|17.3|17.9|17.6|14511|Incidence|81683260|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|419|Incidence|59850043|Bones and Joints|2008
0-19|0.8|1.0|0.9|730|Incidence|81683260|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-14|3.4|3.7|3.5|2112|Incidence|59850043|Brain and Other Nervous System|2008
0-19|3.1|3.3|3.2|2610|Incidence|81683260|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-14|0.6|0.7|0.6|372|Incidence|59850043|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1081|Incidence|81683260|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-14|0.8|1.0|0.9|551|Incidence|59850043|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|600|Incidence|81683260|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-14|4.9|5.3|5.1|3090|Incidence|59850043|Leukemia|2008
0-19|4.4|4.7|4.6|3728|Incidence|81683260|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.9|1.0|1.0|570|Incidence|59850043|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.1|946|Incidence|81683260|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-14|3.2|3.5|3.3|2015|Incidence|59850043|Other|2008
0-19|4.5|4.8|4.7|3926|Incidence|81683260|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-14|1.0|1.1|1.1|645|Incidence|59850043|Soft Tissue|2008
0-19|1.0|1.2|1.1|890|Incidence|81683260|Soft Tissue|2008
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-14|3.9|4.2|4.0|2432|Incidence|60026780|Acute Lymphocytic|2009
0-19|3.3|3.5|3.4|2775|Incidence|81846618|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-14|0.6|0.7|0.7|398|Incidence|60026780|Acute Myeloid|2009
0-19|0.6|0.8|0.7|571|Incidence|81846618|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-14|15.7|16.3|16.0|9647|Incidence|60026780|All Cancer Sites Combined|2009
0-19|17.1|17.7|17.4|14339|Incidence|81846618|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-14|0.6|0.8|0.7|414|Incidence|60026780|Bones and Joints|2009
0-19|0.8|1.0|0.9|730|Incidence|81846618|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-14|3.3|3.6|3.5|2092|Incidence|60026780|Brain and Other Nervous System|2009
0-19|3.0|3.3|3.1|2557|Incidence|81846618|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-14|0.5|0.6|0.6|336|Incidence|60026780|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.2|1041|Incidence|81846618|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-14|0.9|1.0|0.9|574|Incidence|60026780|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|616|Incidence|81846618|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-14|4.8|5.2|5.0|3029|Incidence|60026780|Leukemia|2009
0-19|4.3|4.6|4.4|3632|Incidence|81846618|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.9|1.0|0.9|559|Incidence|60026780|Non-Hodgkin Lymphoma|2009
0-19|1.0|1.2|1.1|921|Incidence|81846618|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-14|3.2|3.5|3.3|2021|Incidence|60026780|Other|2009
0-19|4.6|4.9|4.7|3962|Incidence|81846618|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-14|0.9|1.1|1.0|622|Incidence|60026780|Soft Tissue|2009
0-19|1.0|1.1|1.1|880|Incidence|81846618|Soft Tissue|2009
0-14|0.2|0.3|0.3|164|Mortality|61205447|Acute Lymphocytic|2010
0-19|0.2|0.3|0.3|230|Mortality|83185588|Acute Lymphocytic|2010
0-14|3.8|4.2|4.0|2396|Incidence|59550980|Acute Lymphocytic|2010
0-19|3.2|3.5|3.4|2709|Incidence|80961146|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61205447|Acute Myeloid|2010
0-19|0.2|0.3|0.2|198|Mortality|83185588|Acute Myeloid|2010
0-14|0.6|0.7|0.7|393|Incidence|59550980|Acute Myeloid|2010
0-19|0.7|0.8|0.7|583|Incidence|80961146|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61205447|All Cancer Sites Combined|2010
0-19|2.2|2.4|2.3|1925|Mortality|83185588|All Cancer Sites Combined|2010
0-14|16.1|16.7|16.4|9814|Incidence|59550980|All Cancer Sites Combined|2010
0-19|17.2|17.8|17.5|14276|Incidence|80961146|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61205447|Bones and Joints|2010
0-19|0.2|0.2|0.2|166|Mortality|83185588|Bones and Joints|2010
0-14|0.6|0.7|0.7|395|Incidence|59550980|Bones and Joints|2010
0-19|0.8|0.9|0.8|676|Incidence|80961146|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61205447|Brain and Other Nervous System|2010
0-19|0.6|0.7|0.6|498|Mortality|83185588|Brain and Other Nervous System|2010
0-14|3.3|3.6|3.5|2071|Incidence|59550980|Brain and Other Nervous System|2010
0-19|3.0|3.2|3.1|2503|Incidence|80961146|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61205447|Hodgkin Lymphoma|2010
0-19|~|~|~|~|Mortality|83185588|Hodgkin Lymphoma|2010
0-14|0.5|0.6|0.5|314|Incidence|59550980|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|983|Incidence|80961146|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61205447|Kidney and Renal Pelvis|2010
0-19|0.1|0.1|0.1|56|Mortality|83185588|Kidney and Renal Pelvis|2010
0-14|0.8|0.9|0.9|520|Incidence|59550980|Kidney and Renal Pelvis|2010
0-19|0.6|0.7|0.7|552|Incidence|80961146|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61205447|Leukemia|2010
0-19|0.6|0.7|0.7|553|Mortality|83185588|Leukemia|2010
0-14|4.8|5.2|5.0|3005|Incidence|59550980|Leukemia|2010
0-19|4.3|4.6|4.5|3609|Incidence|80961146|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61205447|Non-Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|75|Mortality|83185588|Non-Hodgkin Lymphoma|2010
0-14|0.9|1.0|1.0|569|Incidence|59550980|Non-Hodgkin Lymphoma|2010
0-19|1.0|1.2|1.1|909|Incidence|80961146|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61205447|Other|2010
0-19|0.5|0.6|0.5|419|Mortality|83185588|Other|2010
0-14|3.7|4.0|3.9|2321|Incidence|59550980|Other|2010
0-19|4.9|5.3|5.1|4197|Incidence|80961146|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61205447|Soft Tissue|2010
0-19|0.1|0.2|0.2|146|Mortality|83185588|Soft Tissue|2010
0-14|1.0|1.1|1.0|619|Incidence|59550980|Soft Tissue|2010
0-19|1.0|1.1|1.0|847|Incidence|80961146|Soft Tissue|2010
